RGIId,Loibl_ELA,Loibl_THAR,Loibl_AAR,Loibl_AABR
RGI60-13.00014,5689.940891192657,0.3143614323613355,0.7262892512920619,2.7313683335209404
RGI60-13.00015,5757.559828858103,0.325242359606247,0.8591135329874237,6.397127972919403
RGI60-13.00017,5784.814448707567,0.2156913148354224,0.8894775312509325,8.41739099428831
RGI60-13.00021,5786.685274099878,0.122339275772928,0.9197535983920008,12.071712448066938
RGI60-13.00023,5688.312510983857,0.2682892908149737,0.8116032162322155,4.449049997285743
RGI60-13.00026,5709.158328157616,0.1805132626141389,0.8904750827365476,8.509441026034139
RGI60-13.00031,5927.444591609057,0.2129402496826258,0.8733916710443445,7.132981786140884
RGI60-13.00035,5630.658041980377,0.3531443227758763,0.820307376348546,4.7424828340020495
RGI60-13.00040,5674.636740650589,0.3103662444804654,0.8161631353740654,4.589032388900303
RGI60-13.00044,5573.303185167346,0.1693510863608761,0.8972768272027134,9.087469303025804
RGI60-13.00046,5643.256606464371,0.3481902507814435,0.8972814009336378,9.061345662835214
RGI60-13.00049,5573.9593092517625,0.2335550162417848,0.859224959651336,6.402384427137181
RGI60-13.00052,5631.755400014088,0.3052901728594361,0.7510768735920601,3.154972165975091
RGI60-13.00055,5552.121030655744,0.1817457943465619,0.8550239117283366,6.178943532153237
RGI60-13.00061,5635.762534579024,0.1911577767981849,0.8672546529028207,6.771165675153132
RGI60-13.00062,5582.097551757362,0.2665188165996713,0.8860951786287627,8.205101857935274
RGI60-13.00064,5624.17879393318,0.3168934514669611,0.8717555337901871,7.062561662450923
RGI60-13.00066,5623.980545242144,0.202585594635401,0.8781489414306131,7.474943204551353
RGI60-13.00086,5623.552764689381,0.3110903792465718,0.8128674687337603,4.497639722639851
RGI60-13.00088,5686.845387463655,0.1449643511289863,0.8587624721850863,6.320410688489591
RGI60-13.00089,5634.930049558618,0.2663900616464517,0.8244600939233105,5.008773999436996
RGI60-13.00093,5631.780216163223,0.2897001590365651,0.8678315695756711,6.895122487760209
RGI60-13.00094,5723.235777554783,0.2152553527852461,0.9209137460194904,11.87654444013932
RGI60-13.00095,5732.249763424489,0.2983986840846608,0.8181006908944843,4.591047049351659
