RGIId,n,slope,intercept,r_value,p_value,mad_err,AAR_mean
RGI60-13.00014,5.0,0.08190311676539422,0.7441255246159474,0.10301944240115422,0.8690639580304869,0.45656614540463564,0.754051080795154
RGI60-13.00015,9.0,-0.04742289434140303,0.8524979891215675,-0.31077121999099977,0.41566650053492027,0.054820550761584326,0.8513272288905523
RGI60-13.00017,5.0,-0.09129381469304781,0.8967913404200042,-0.5196219280049176,0.36950995529271596,0.08666677184048896,0.8776904810395395
RGI60-13.00021,13.0,-0.01607162276169712,0.9222417931752568,-0.1166134969010728,0.7043988913211592,0.04127065721808027,0.9197216980259986
RGI60-13.00023,11.0,0.018647829882351256,0.8239393376131106,0.07329853281707142,0.8304110429513676,0.08457499005391711,0.8307221045796069
RGI60-13.00026,5.0,0.07247813422171343,0.8927534807482153,0.5144610501974753,0.37513448789352594,0.06974851556921598,0.9169024625760626
RGI60-13.00031,9.0,0.012593800492329443,0.8595128690956738,0.034756474635729846,0.9292659306349023,0.13687041830226154,0.8623282222522088
RGI60-13.00035,9.0,-0.007901696390973713,0.8237861370795775,-0.017794620678269094,0.9637586607298314,0.16780844525176825,0.8235901177736966
RGI60-13.00040,10.0,-0.013936838190643052,0.823413218246279,-0.03501007753435221,0.923509256479248,0.14065652053902128,0.8219594924607595
RGI60-13.00044,15.0,-0.003854741461000575,0.89155005118718,-0.02159352759820087,0.9391135693263007,0.049499260149382836,0.8907995333895359
RGI60-13.00046,11.0,-0.03585276088808043,0.8880840013644985,-0.1252193076965545,0.7137339944927592,0.09468871740677803,0.8909036569904718
RGI60-13.00049,8.0,-0.026409866489014177,0.8633663750801056,-0.07675186855720055,0.8566544147774979,0.14006146314617812,0.8589846966772927
RGI60-13.00052,9.0,0.18808913580424322,0.7572044550893293,0.42231221299582444,0.257496955840381,0.15258966255219147,0.7727713068996498
RGI60-13.00055,16.0,0.05939883037496276,0.8654141852961186,0.17683504174641562,0.5123669360116058,0.08835818356795495,0.8648250622176601
RGI60-13.00061,14.0,-0.05643333904143074,0.8731345295709869,-0.18029970623083977,0.5373591391049236,0.088873810284714,0.8691754555593934
RGI60-13.00062,15.0,-0.015386574359271545,0.8860585171889799,-0.08588677482208874,0.7608667351863936,0.049503537811823144,0.8852965380176869
RGI60-13.00064,8.0,-0.02349132786534244,0.877313145050026,-0.114925094492638,0.7864053110934254,0.08289530438614214,0.8785037078776263
RGI60-13.00066,9.0,0.06196816925891723,0.8566955579020753,0.3549137086353805,0.34863471111328653,0.06169665183704889,0.8560333731079556
