glacier_type,area_category,slope_category,AAR_n,AAR_mean,AAR_std,AAR_1σ,THAR_n,THAR_mean,THAR_std,THAR_1σ,AABR_n,AABR_mean,AABR_std,AABR_1σ
0,0,0,11450,0.5385003304700599,0.06721063340760888,0.00011587966665203903,11989,0.5102749899336374,0.12386426647341947,9.653883342066362e-05,11328,1.2212952206621253,0.3356435443285001,0.0006121250074789006
0,0,1,18474,0.5279490304845531,0.05792260571830052,3.950945555845784e-05,18691,0.5348463886771075,0.10520725111498032,3.966632643846681e-05,18485,1.1772151694861155,0.2838945302016378,0.00020163512729068158
0,0,2,31432,0.5355932126031648,0.057220987103598284,3.3425230170114785e-05,31642,0.5505940874284669,0.09802696302271174,3.612084268900501e-05,31407,1.2205787759742726,0.2838054176124315,0.0002088633319083117
0,1,0,13963,0.5278167134702904,0.0520279087575659,8.645008811449073e-05,13975,0.5107399069561476,0.11085749613420061,7.337047327096739e-05,13911,1.1915590333071764,0.2654189598623435,0.00044512931730832295
0,1,1,22252,0.5285212868753258,0.04858604807757147,5.749173105132193e-05,22372,0.5068921998505108,0.09655502030221864,5.3684277533116954e-05,22182,1.2084211793031499,0.2511166636211038,0.0003208692366986002
0,1,2,22453,0.5472362648470728,0.053089187931726796,9.099927764226396e-05,22821,0.5115296851651414,0.09179608966093583,8.741069151717512e-05,22096,1.3130968105117524,0.2794650279636973,0.0005686459466148864
0,2,0,14800,0.5482383173439623,0.055495968631645964,0.00013270183813306674,15095,0.5038791398588054,0.10469332938385864,0.00010349874861917496,13829,1.3437854028873624,0.31210591083558575,0.0007993062490467704
0,2,1,11560,0.5506568864129651,0.05452144313474172,0.00016323643814829505,11978,0.4871614599289092,0.09148027313099122,0.0001397607578738095,10992,1.3696585573108484,0.30316222680234645,0.0010225548051077523
0,2,2,5742,0.569610591809231,0.056229782525881046,0.00029367694697314463,6208,0.4766893692442013,0.08877912686018563,0.0002666296091477069,5307,1.4664530907848172,0.3076782471660687,0.0019728406028998112
1,0,0,1732,0.5359616672713776,0.06901624717845742,0.00034131940304774956,1815,0.49527022600348136,0.12208918144842476,0.0002774854248082127,1720,1.2159050402100298,0.3427725849629456,0.0017665606629788044
1,0,1,2321,0.5212663656991537,0.061763938967085534,0.0001655094483052945,2362,0.5252893294448222,0.10817119250448058,0.0001580402052294422,2344,1.1491152866389212,0.3051622825793736,0.0007509392487377723
1,0,2,2672,0.5154302233680497,0.060091266884019584,0.00010535406416035835,2725,0.5290343035707379,0.10082686414363577,0.00011951715684692095,2703,1.127452199913986,0.28900622633058176,0.0005313477508402674
1,1,0,4207,0.517128481590917,0.056723920902962,0.0002034490372886307,4266,0.49946537545100894,0.11093784584674164,0.00017105712734205385,4233,1.1398401768030855,0.28257828719595623,0.0010007653541783989
1,1,1,5008,0.5120918448714475,0.05358267505371397,0.00012115049543896457,5060,0.5070018962867957,0.10201442307961446,0.00010503198504407225,5052,1.1385377086914137,0.269280214165431,0.0005927442057363641
1,1,2,3818,0.5186692450959787,0.05464977400571167,0.00014036310585344765,3883,0.5066878162518383,0.09663008257350433,0.00014667161246410113,3821,1.175398126420211,0.2765722934652188,0.0006930185367778094
