glacier_type,precipitation_category,aspect_category,AAR_n,AAR_mean,AAR_std,AAR_1σ,THAR_n,THAR_mean,THAR_std,THAR_1σ,AABR_n,AABR_mean,AABR_std,AABR_1σ
0,0,0,10296,0.5642539911334008,0.060812679238020806,0.00019535188738897954,10755,0.5276264062819216,0.11419502667759006,0.00018040786335369186,9738,1.3743715062475061,0.32890932273642687,0.0012320674991318304
0,0,1,40717,0.5501611462329297,0.0559612489655079,8.261224205635735e-05,41596,0.5179923122856017,0.1014229510561651,7.35214811030121e-05,39471,1.30106624735008,0.2996157377611819,0.0005066294600918758
0,0,2,714,0.5481400781174391,0.0626609309935178,0.0005712833900853161,742,0.4967078964347183,0.11587445858110094,0.0005168761755735043,693,1.2673182579907027,0.32179388661510516,0.0035766285941534197
0,0,3,223,0.5579402169944785,0.06784695819709667,0.0014231442673153666,242,0.47857296323125725,0.12800920452081566,0.001239368967129334,192,1.3413675406289105,0.3597844883558404,0.009706782253087723
0,1,0,13279,0.5364326998557435,0.05625836369702162,9.200175887433256e-05,13566,0.510147458821384,0.10483654857717215,8.651385798494834e-05,13160,1.2383121260135281,0.29207577021246434,0.0005214160778718215
0,1,1,37130,0.5287150659073679,0.054046712386706906,4.013862145428589e-05,37625,0.5061680345318843,0.10057742163438178,3.488055052885624e-05,36984,1.2007438386711629,0.2772125971828119,0.0002162930974079541
0,1,2,764,0.5486794868698998,0.06560613904257342,0.0003807058146295836,799,0.5060539150102836,0.10898507187436546,0.0003248753460427838,722,1.3097483026668184,0.3471593185037206,0.002273221893534625
0,1,3,409,0.5345622209245348,0.06917917639163738,0.0006272354195377163,431,0.49911801835420216,0.12355370019005144,0.0004614297988965331,372,1.3229618057373336,0.37160512646652566,0.004044781754525578
0,2,0,12574,0.5317699049387028,0.05219349950613054,4.506298178743446e-05,12671,0.5241938357033189,0.10123179717157095,4.395917606858397e-05,12457,1.2413035771419227,0.27692156442332155,0.00023103337442329514
0,2,1,23640,0.5276565374626446,0.05125942610481708,3.1536368897888715e-05,23794,0.5166585490600437,0.09904037582437604,2.6834025740690623e-05,23501,1.224950259648377,0.27369367664178396,0.00015202111340122804
0,2,2,8367,0.535762811783257,0.05862501424981211,7.13396504677729e-05,8468,0.5501015459708105,0.10489250449420714,5.6098601365317376e-05,8296,1.2593560431566146,0.310015411324265,0.0004211361145694324
0,2,3,4013,0.5383087003081581,0.06104538158012872,0.00011217013541334297,4082,0.5400730376719053,0.10806961835551065,9.393673157771975e-05,3951,1.2736819930530434,0.32473621570766065,0.0006828917136853731
1,0,0,2889,0.5571982409197466,0.06568850559226153,0.0004177069705764971,3130,0.5101064617718897,0.1125329258639031,0.00035955861369040866,2497,1.375505993914554,0.3588826064075587,0.002631329839221916
1,0,1,7826,0.542011470503296,0.06593155477529464,0.00023625091984691435,8310,0.48747449966941886,0.11028825647526462,0.00019008536603651538,7157,1.3117885543347838,0.36052664714010624,0.0014201264832238044
1,0,2,441,0.5469811465524211,0.05957887001207397,0.0005942185182579954,459,0.48472782995238356,0.10361242786770594,0.000575665879504838,432,1.2684574828645627,0.3104176950937694,0.003487594427409222
1,0,3,114,0.5555333587407757,0.07225020013014394,0.0017076479488914807,130,0.4731209191962398,0.11956407019973862,0.0015874167434780544,107,1.2929681091031862,0.3537102622966396,0.009585404842500332
1,1,0,5097,0.5290929558035788,0.06066862930866433,0.00019521671717946982,5298,0.4916387271990706,0.09962050016360605,0.00016517054079229142,4952,1.2283038865467741,0.330903104217218,0.001002533171489549
1,1,1,10408,0.516910815011407,0.05903251431446724,0.0001258340767622581,10682,0.47836003825578216,0.09440633527891965,9.454063548518272e-05,10244,1.1706968567064637,0.31058864419837584,0.0006128546189079891
1,1,2,413,0.5304586646356395,0.06907116369074559,0.0005155219740156053,432,0.50540848947691,0.10936282690912878,0.00045932488626308424,405,1.2042813016761638,0.3325530295259568,0.0031444756323761314
1,1,3,154,0.5353267903440466,0.06500086116459185,0.0008405719849657261,158,0.49029890240838236,0.1153570934932441,0.0009547957080018517,152,1.263788713634721,0.33468600495513373,0.0050739505286356255
1,2,0,5157,0.5286185839027044,0.05850386588585403,0.00012591211529628166,5255,0.5097314831060863,0.09821101881853478,0.00010482301863684411,4928,1.24601125836302,0.3231131230163511,0.0006471561117528611
1,2,1,8852,0.5275094809294281,0.056672343889454566,8.373562003503797e-05,8988,0.49966908126224674,0.09611735624336136,6.064653000294955e-05,8590,1.2549701056607794,0.3217607700120914,0.00041482739527383264
1,2,2,4208,0.5322555031958678,0.05786625122333153,0.00012797128066958498,4277,0.53312779194536,0.10570452857611785,0.00010455652942430003,4139,1.2673345203576556,0.3090493935225836,0.0006954222375404098
1,2,3,2101,0.5312303697067604,0.06252079256046524,0.00019807043956072336,2158,0.5255272499360066,0.10791458529711334,0.00017461179819512596,2046,1.2622886352941498,0.3197934661921794,0.001169919621302434
2,0,0,842,0.6013184484620585,0.054401703513771354,0.0010175244765492073,1048,0.5438171831407804,0.10801834912558794,0.000850464082119501,674,1.5993307874009457,0.30499569576722885,0.007516060741509098
2,0,1,1212,0.5973029360645926,0.05747212676043938,0.0008433280041643018,1517,0.5263839102171508,0.11692842033690269,0.0007111402658323855,933,1.574471423922567,0.3328199233975621,0.006459900886008922
2,1,0,102,0.5739774160730933,0.055645653363610145,0.001818024523856223,113,0.5020935390210749,0.10506339475772654,0.0015594400731746994,94,1.444609880605749,0.31700499990062203,0.012245359225708099
2,1,1,163,0.5679869884914486,0.0620196189486111,0.001321062712669162,174,0.5086188975057429,0.10730226921821605,0.0012204636026507836,139,1.3738416967125202,0.31808580950158216,0.008648301110077285
2,1,2,18,0.5569691261218501,0.06406013662029975,0.004579480894300033,17,0.4365223942408769,0.0966369500811788,0.003631139262466826,5,1.2050934640953672,0.5458612828357624,0.058370030007521126
2,1,3,9,0.571810755911789,0.05734335636896608,0.0053012342258837615,9,0.519988242044417,0.12759631222958673,0.004831705272669001,1,1.8802570065345503,,0.0
2,2,0,23,0.5538348971071614,0.05769105834575486,0.0031879252217236753,25,0.5600430522447675,0.1173154168941618,0.0021649823100581165,22,1.4026500622054225,0.29914294180751216,0.022359039551892713
