glacier_type,temperature_category,precipitation_category,aspect_category,AAR_n,AAR_mean,AAR_std,AAR_1σ,THAR_n,THAR_mean,THAR_std,THAR_1σ,AABR_n,AABR_mean,AABR_std,AABR_1σ
0,0,0,0,4810,0.5707621598737723,0.06268871093955583,0.0003304986346233262,5070,0.5243873481319581,0.11620774144755368,0.00030207362818899505,4413,1.425790036188052,0.3420640933361533,0.0021609389328442106
0,0,0,1,12507,0.5661468212232132,0.059157280467332464,0.00019772151860011447,13101,0.5173851160218493,0.10713879530873996,0.00017919224116171029,11600,1.4104594918087465,0.32574701920809757,0.0012805855935861836
0,0,0,2,45,0.56766175738766,0.06947702250398559,0.006477010812075274,48,0.3997589452171168,0.09835122982711396,0.0048155078164674545,37,1.4765969026993304,0.3753275684385502,0.042893979214765135
0,0,0,3,39,0.56538732311163,0.08488079415816016,0.005128300439913169,45,0.4407613165232464,0.1237972214971161,0.00354873030573255,30,1.5128665644785262,0.3655600111540643,0.03680920990902414
0,0,1,0,1039,0.5576687695420072,0.0601037643831673,0.0005785778618718554,1102,0.5036736886700152,0.11469665648868332,0.0005905411465782689,1014,1.337056647457963,0.3248507192256222,0.0036191779808544076
0,0,1,1,1167,0.556712316238745,0.05848529587007224,0.00044080093694968926,1200,0.5083588511458328,0.11311229457514684,0.00044275952924197347,1126,1.3370034388492484,0.3114476352852162,0.0027617537095270084
0,0,1,3,7,0.587168806679432,0.09731477749793775,0.011140438099708121,8,0.4318122714424377,0.1454411761619856,0.01041666666666656,4,1.7808093962166431,0.21604536917386316,0.14374726678105842
0,0,2,0,36,0.56913293930053,0.04990254630527506,0.002280228072214205,46,0.5258069503234406,0.1256020979724568,0.00318377527548022,35,1.4219831442169426,0.2811964419012259,0.015270783276190646
0,0,2,1,18,0.5680031897500015,0.06634180185792592,0.0027853387946214256,21,0.5241327938081998,0.10951369639051639,0.004405718234711446,16,1.3420691997556788,0.30651046007709815,0.0
0,1,0,0,4386,0.5592024893764695,0.058367375188787894,0.0002442934727112305,4525,0.5305204922083593,0.11298227949246681,0.0002279789193221788,4241,1.3385397752496555,0.31058097310154953,0.0014941220439565
0,1,0,1,22022,0.5442962520957229,0.05271578670353665,9.30008018171866e-05,22231,0.5181576158489734,0.09858326970859145,7.892262500802862e-05,21717,1.2631372603821838,0.2761459112078049,0.000553812824049704
0,1,0,2,113,0.537279563295475,0.07020887412538675,0.0014204460630739908,116,0.46733783947589136,0.12122530984485402,0.001179088628654623,108,1.211998295985711,0.3335446564831985,0.010030806776085976
0,1,0,3,77,0.5635480036141185,0.07535494938439354,0.003004733882895904,86,0.4437536554471386,0.1325811604735068,0.0026906906545594474,54,1.3848021633634688,0.4160653556115132,0.024502861422516748
0,1,1,0,6146,0.5379764254898578,0.0565215084803483,0.00014311965338612915,6276,0.5086039772987264,0.10491421424378927,0.00013141847563036133,6055,1.2505653469401863,0.29477904816037764,0.0007786741686048301
0,1,1,1,13895,0.5332938879426782,0.0537411966827092,7.53911684193568e-05,14021,0.5072642913505655,0.10030759348203784,6.510363073549463e-05,13743,1.2288516636377198,0.2824208553570673,0.0004273878240492211
0,1,1,2,58,0.5713189495065727,0.07150087094066011,0.0017794651798951088,61,0.4961324382956312,0.1373782203805136,0.0012198771673272908,49,1.4439810215948163,0.35405224411486064,0.00996540133932387
0,1,1,3,58,0.5330587380949822,0.06389609608272004,0.0017884554703812357,63,0.49808899899577735,0.1379004632133571,0.0008423227351504874,51,1.4022706687928725,0.319923207357054,0.007861096069452598
0,1,2,0,784,0.535283723703263,0.05470462665328487,0.00024902309848322,789,0.5325489255357642,0.1025188903404105,0.0002681631330245677,765,1.273824589483824,0.29209396173806007,0.0013471038996432422
0,1,2,1,898,0.5325650437579289,0.05348410248378878,0.0002217140465124901,906,0.5202454422131557,0.0992508050581755,0.00019681466699400844,881,1.2630157521687622,0.2957676469850764,0.0013201711909941291
0,1,2,2,3,0.5135320281895872,0.03191441314131164,0.0,3,0.5382724181999926,0.10572538844210191,0.0,3,1.26644887689694,0.21675325822453412,0.0
0,1,2,3,12,0.543356870509062,0.07542158925605084,0.0,13,0.5310258733680527,0.12772746639409432,0.0025866327906556084,9,1.362828579837914,0.3904156944651637,0.0
0,2,0,0,1100,0.5559372593740489,0.05913908469866307,0.0005532094317821239,1160,0.5304938942157014,0.10965127560840218,0.0005136158362680192,1084,1.3052316524968197,0.3126098902287365,0.003307844036206658
0,2,0,1,6188,0.5387235026624857,0.05361434021010404,0.00016199177365055803,6264,0.5186755841141631,0.09905049964974896,0.00013944729557700575,6154,1.228713659482232,0.2716825686021498,0.0009554095290357623
0,2,0,2,556,0.548767348994637,0.060095279300966,0.0004243373518749397,578,0.5106533571019654,0.11124846597642019,0.00047366404037415687,548,1.2640906047832572,0.3104677623158359,0.0028569114102866876
0,2,0,3,107,0.5511903412161496,0.05382683004160355,0.0007923056896178613,111,0.5208791305402185,0.11335372171229807,0.0009409515503851893,108,1.272011611525627,0.30829639728849717,0.006568345486547573
0,2,1,0,6094,0.531255145843388,0.05434856399509319,9.810651131664499e-05,6188,0.5128657821476618,0.10283607479931706,8.454043488821305e-05,6091,1.209692819256744,0.2789335860915862,0.0005540079251758009
0,2,1,1,22068,0.5243514841003464,0.05331001267446153,4.2001641498721175e-05,22404,0.5053646245697584,0.10002815349314131,3.4769819870515695e-05,22115,1.1763389484013953,0.26830077334894026,0.00020131295016248595
0,2,1,2,705,0.546778513442122,0.06483877905099611,0.0003789435200982329,737,0.5068103188504136,0.10643283051552833,0.0003284860166147055,673,1.2999750437849882,0.34488286736449664,0.0023282970900841884
