glacier_type,slope_category,aspect_category,AAR_n,AAR_mean,AAR_std,AAR_1σ,THAR_n,THAR_mean,THAR_std,THAR_1σ,AABR_n,AABR_mean,AABR_std,AABR_1σ
0,0,0,12610,0.5400647915332513,0.058551627389039775,0.0001175845678562541,12841,0.5106700895260922,0.11533457001256611,9.705642084173413e-05,12261,1.260791435260883,0.30732521835369014,0.0006496715590664738
0,0,1,24278,0.5372677132980103,0.05726837270235185,8.6207004554658e-05,24736,0.5044438948486409,0.10908447259133659,6.88564456152743e-05,23596,1.2491656886883495,0.30705836896967864,0.0004812990723733014
0,0,2,2022,0.5378420305269443,0.06652927597236519,0.00025041975232392315,2119,0.5270546085976813,0.12452891852971762,0.0002099452846365824,1989,1.2451356128347728,0.3442489565241036,0.0014550369601361074
0,0,3,1303,0.5434700693396941,0.06896943678974192,0.00037559848711006907,1363,0.5202238826090908,0.12757528183621059,0.0003109022474240355,1222,1.295717018472728,0.36110946206506683,0.0022863188386932883
0,1,0,12015,0.5386667752604355,0.05503280669820542,9.859658210052489e-05,12214,0.5204301032764987,0.10158396891467965,9.555210043811228e-05,11836,1.2620998308650784,0.2893595992875658,0.0005926511527413193
0,1,1,35530,0.5307359339636288,0.05316831651954679,5.741418202361634e-05,36047,0.5046513692519644,0.09761788862964663,5.0570476355722844e-05,35163,1.215894633411459,0.2779974346987776,0.00033131515335928826
0,1,2,3278,0.5380972878664535,0.05749114978914494,0.00011034684359697516,3299,0.5519815663261941,0.10617979824812962,8.774801753383028e-05,3225,1.2705404178851682,0.3065513923717931,0.0006739954995421465
0,1,3,1463,0.5376402758353795,0.058758252957653974,0.00012730782192466606,1481,0.5425643056671774,0.10786383335971,0.00010829323741485461,1435,1.276026779629475,0.30795661597937146,0.0007742077667735437
0,2,0,11524,0.5498980712256795,0.059403760197713276,0.0001303712868659818,11937,0.5297222599569414,0.10120580482282433,0.00013343586630763465,11258,1.3098204459744556,0.31148348993549163,0.0008268930973922336
0,2,1,41679,0.5423611184708573,0.05522107436035443,5.652298628266927e-05,42232,0.5260291235799197,0.09679208791255606,5.42990816409042e-05,41197,1.2700059578519887,0.2853137153555461,0.0003533808873066619
0,2,2,4545,0.5372697677850937,0.05795076296454081,0.00010320851196692628,4591,0.5430926433456764,0.09886207024427733,8.669638986814533e-05,4497,1.2669424015415263,0.30492320761892816,0.000626720403912715
0,2,3,1879,0.5367643465608092,0.05989109060128003,0.00016399019572323342,1911,0.5352746070643969,0.1019113200244642,0.00013967628860494602,1858,1.2742396602506152,0.32691453112627866,0.001073338722294229
1,0,0,6506,0.5387484396687956,0.062287207408605966,0.00019681780894624263,6778,0.5043409781166409,0.10605331917161366,0.00016196522749777065,5943,1.2884302228510416,0.3474227980970329,0.0010785864373155426
1,0,1,13214,0.5318716006995978,0.06171454524355389,0.00013574757923608705,13627,0.4921550368100982,0.10432166225490717,0.00010163169744039618,12402,1.2687590644625946,0.3446328123991485,0.0007234495938420588
1,0,2,1302,0.5342791331880792,0.061610175846476004,0.0002990119877676361,1349,0.5140030558292519,0.1153887578807834,0.00026102828167832683,1277,1.234641283821988,0.31836507335797426,0.0015277361121566104
1,0,3,655,0.5323091564644835,0.06942968888693365,0.0005017628973619859,689,0.5131853880812153,0.11981770635231435,0.0004243578498047851,632,1.2325483466153717,0.33934631374703855,0.0028472317634374504
1,1,0,3968,0.5316015001851468,0.06121186195536421,0.00021927621823688892,4131,0.49847994145127744,0.100175680232073,0.0001857862797005183,3839,1.254832933703719,0.3325790248599113,0.001227210731769931
1,1,1,8924,0.5233055618014805,0.060167098148382864,0.000143697174937544,9230,0.48092000661197704,0.09602831431497783,0.0001169626922046247,8737,1.2147006519938905,0.3249145016247445,0.0008161339960216231
1,1,2,2198,0.5341027498603113,0.05937172390281996,0.00018046778204088088,2227,0.5333576227884825,0.10534395737829816,0.00014617224300571182,2155,1.2728272649250079,0.3086782129046802,0.0010656369417404946
1,1,3,972,0.5327556065427403,0.058603132995350415,0.00026891576646836685,993,0.5277313350740488,0.10814002649920426,0.0002683907529660201,960,1.282196304661123,0.3129008584979434,0.0015817007811502165
1,2,0,2669,0.5313325027030309,0.062442868740389505,0.0002571969996298635,2774,0.505526444830337,0.09714233170357205,0.00026528622821364063,2595,1.226627494144475,0.32125334703854286,0.0014776583079196845
1,2,1,4948,0.5240851436588357,0.06103795922435451,0.00018313115333717394,5123,0.4892235751798658,0.09620386883165212,0.00016662267058713078,4852,1.1981230373383007,0.31323282592310614,0.001011153238973407
1,2,2,1562,0.5316517259721545,0.05668253948264938,0.0001974035289231259,1592,0.5275355271914964,0.10047816540008662,0.00017678401332245472,1544,1.2704828135897692,0.30869168268646324,0.0011397782778048754
