glacier_type,area_category,slope_category,aspect_category,AAR_n,AAR_mean,AAR_std,AAR_1σ,THAR_n,THAR_mean,THAR_std,THAR_1σ,AABR_n,AABR_mean,AABR_std,AABR_1σ
0,0,0,0,3526,0.5389906059116265,0.06725086156087766,0.00023327952499802,3670,0.5045926756393916,0.12597304471735934,0.00019011470290257785,3491,1.227291647324515,0.33637006115706825,0.0012198828637269515
0,0,0,1,5901,0.5367885072150008,0.06583348453139362,0.00015396025529969506,6162,0.5062722264578627,0.12031549668084136,0.0001277664731163497,5843,1.208249937020089,0.3250937672317368,0.000793268804564174
0,0,0,2,1255,0.5411826690921435,0.06990130766876727,0.0002786465754136975,1332,0.5359364745333506,0.12652388596115233,0.00024893949310812437,1249,1.2334288675635199,0.35308795700347867,0.0016097908103061438
0,0,0,3,768,0.5450191102232168,0.07237633652518205,0.0004805029711577482,825,0.5240180499467146,0.13014789403812208,0.000425077736772197,745,1.275167894302629,0.37515750652580904,0.002822049424694825
0,0,1,0,4340,0.5313590610104851,0.05866862879791348,8.772606188901122e-05,4397,0.535383637263239,0.10612222156557624,9.027958590849907e-05,4333,1.1992306892540294,0.28918100690427245,0.0004511224982137222
0,0,1,1,11660,0.5261832541530578,0.05662797473831251,5.292224183373578e-05,11804,0.5293003445395057,0.10354981767931797,5.2794438497474025e-05,11681,1.1641296768886005,0.27610135727372376,0.00026645211390948783
0,0,1,2,1713,0.5304215187943099,0.061342420008863724,4.889390148699026e-05,1722,0.5631813607892308,0.10601265464388085,3.552334183370706e-05,1713,1.1983053926296947,0.3017282278747625,0.0003617968328966688
0,0,1,3,761,0.5299911422691511,0.0639982345724187,0.0,768,0.5534797232994467,0.11100068682596995,0.0,758,1.2053561188690294,0.3163529375923131,0.0
0,0,2,0,6014,0.5393021446277235,0.05913719193297351,0.00010504258650172397,6065,0.5482355611631625,0.101557710435452,0.00011437698072466222,5971,1.2416409888962,0.297475728339865,0.0006669223605885277
0,0,2,1,21606,0.5363307614637881,0.05598896270488884,3.8269150736566196e-05,21736,0.5507114694988927,0.0967411172612302,4.119444957755995e-05,21601,1.221138184558036,0.2772360444830325,0.00023914569925659527
0,0,2,2,2712,0.5260886660476801,0.059400654199786705,4.955231444546713e-05,2727,0.5550022117196595,0.09837667784780724,5.143608016034447e-05,2724,1.1861975408982786,0.2900797776906357,0.0002158638460764346
0,0,2,3,1100,0.5242616965851203,0.06116166462903461,4.978463155966836e-05,1114,0.5503535938685141,0.1021766161763038,5.435887945034793e-05,1111,1.1808022018719389,0.30665365787858684,0.00033872550860560957
0,1,0,0,4762,0.5310103476003116,0.05282278503844259,0.00014837325004374126,4769,0.5139506745166811,0.11389225022658245,0.00012360818728628735,4742,1.2061970761240837,0.2658835359592825,0.0007349914432112552
0,1,0,1,8383,0.5256835599415275,0.05062860958181638,0.00010961002444614112,8385,0.5080362693732763,0.10748606753669579,9.452980491903658e-05,8378,1.17878247020715,0.2594148026252729,0.0005642197447694462
0,1,0,2,491,0.5279833054730261,0.058562428241680245,0.0005580190206430438,495,0.5195901100412906,0.12369351668011869,0.00045395159762529524,487,1.2212032029521283,0.3083033725039321,0.0033018466181007245
0,1,0,3,327,0.5357443698345555,0.061585494107846014,0.0006000792750101034,326,0.5198718091311351,0.12754326912694974,0.000485913906233808,304,1.2678476385609687,0.31594450122438394,0.0037000972770180273
0,1,1,0,5301,0.5363386332962199,0.050448668011999404,0.0001392557660135969,5335,0.5177414103255339,0.09862099461779773,0.0001347398863531745,5263,1.2513003185093692,0.2624458342081831,0.0008423608208751757
0,1,1,1,15511,0.5248962063638575,0.04745388006437537,6.632038962251536e-05,15592,0.49938376615680585,0.09370157279711727,6.0656509575484304e-05,15496,1.1862670760725949,0.24259636696841144,0.0003525994426467388
0,1,1,2,1005,0.539230800318635,0.048780457986896,0.00016208720440167424,1008,0.548789890800779,0.10527542961671241,0.00015343527393027413,992,1.2888112408789827,0.26280116795523367,0.0009736440484757677
0,1,1,3,435,0.5377760211872804,0.04897725268838101,0.00019153786069305462,437,0.5456978927341061,0.10381702821288905,0.00019628518886220732,431,1.2963101188277992,0.25923462008313825,0.0010825406450360468
0,1,2,0,4547,0.5566244348538701,0.05632869223362618,0.00024195789962010766,4716,0.5195218734651859,0.0954689414041482,0.00023743945209285451,4429,1.3589629923969475,0.3011507676983155,0.0015384490115959177
0,1,2,1,16057,0.5446198998158791,0.05209427546617316,0.00010499684196135889,16238,0.5072443690514595,0.08996569905121278,9.977276769983267e-05,15854,1.2963179455305718,0.2717343614959939,0.0006517786736221081
0,1,2,2,1295,0.5461057719642066,0.04953901218094029,0.00020959350614318126,1310,0.5312134991007719,0.09371379019785825,0.00019021887801863084,1275,1.3394927610679606,0.26595031752499626,0.0012399292232978599
0,1,2,3,554,0.5486567568475811,0.0536875302915894,0.00039648400820626516,557,0.5224955860184315,0.0969849741933497,0.0003522745475536517,538,1.3674015853871118,0.2961833510781345,0.0027381718064178337
0,2,0,0,4322,0.5509173691617816,0.0550546887975261,0.0002339887405392567,4402,0.5121828108218831,0.10715121658040959,0.00019262007781042136,4028,1.354096850035601,0.30507152847942365,0.0014297801529996408
0,2,0,1,9994,0.5472674884314135,0.05519061977124328,0.000164739617451015,10189,0.5003818436399757,0.10295366588327166,0.00012618035234355168,9375,1.337564765107884,0.31310027281997604,0.0009842661728434164
0,2,0,2,276,0.5401903370564698,0.06250000214518146,0.00088028475827099,292,0.4991925584576185,0.11153666037450057,0.0006629160090208883,253,1.3489965158254553,0.34863139000035925,0.00522478656857791
