glacier_type,area_category,aspect_category,AAR_n,AAR_mean,AAR_std,AAR_1σ,THAR_n,THAR_mean,THAR_std,THAR_1σ,AABR_n,AABR_mean,AABR_std,AABR_1σ
0,0,0,13880,0.5367393587190944,0.061262402479862255,7.959748748637567e-05,14132,0.5329030322033407,0.11117890071645697,7.507400035906044e-05,13795,1.2246886598076694,0.3058069414855843,0.00044576677813542876
0,0,1,39167,0.5333788177978139,0.05795394805672222,3.509895245010959e-05,39702,0.5374483710494586,0.1040422325276447,3.388597683812596e-05,39125,1.20219320287239,0.285672861112786,0.00019441126705569992
0,0,2,5680,0.5307304179096128,0.06270682476769461,6.75849100689804e-05,5781,0.5530456181831845,0.10815231287262002,6.317143989423268e-05,5686,1.200220171397892,0.3089117656874356,0.00038420722914747917
0,0,3,2629,0.5319839490916267,0.06598045116930328,0.00014190473379305894,2707,0.5432143414368451,0.11448837769808633,0.00013146620349731525,2614,1.2148168575508442,0.33252105441640817,0.0008170777971408104
0,1,0,14610,0.5409153782105744,0.05418841970910447,0.00010277318512254278,14820,0.517088147511376,0.10285683604767348,9.820294402803812e-05,14434,1.2695183043246014,0.28293242115121836,0.0006127727492595683
0,1,1,39951,0.5329887129544488,0.05092882881076924,5.452373690513952e-05,40215,0.5043618019462747,0.09537538660258492,5.064119928821559e-05,39728,1.2286059921128203,0.2639378331073102,0.0003173722514780016
0,1,2,2791,0.5404420394128024,0.051376696236850664,0.00015000327190745608,2813,0.5354664053393655,0.10421783119184914,0.0001313434332614696,2754,1.3003195283773736,0.2761123957785687,0.0008907491406312288
0,1,3,1316,0.5418516880288196,0.054574250343154045,0.00023259446014295778,1320,0.529528962358955,0.1080113578300114,0.00020179375829301686,1273,1.3195580489203318,0.2920975206358022,0.0015014133807679478
0,2,0,7659,0.5570711220936988,0.056037252809017585,0.00020159255612419447,8040,0.5028744428996906,0.10285638661585332,0.00018484758375133617,7126,1.3926366404666124,0.3088912027845658,0.0012805724738069954
0,2,1,22369,0.5508347313690161,0.055596319239393746,0.00012207593353861154,23098,0.48764693673710596,0.09485796345152235,0.00010176504545352803,21103,1.36020395742432,0.3100614083272982,0.000763804961592926
0,2,2,1374,0.5606754615773173,0.056097460262023204,0.00038828473120233194,1415,0.5142971813370855,0.10515041961856574,0.00029160854574101575,1271,1.4681161963969895,0.3142027702631598,0.0025193230766220637
0,2,3,700,0.5594668678238982,0.056415194483687384,0.0005273776027067372,728,0.5028203436895365,0.1033998406266221,0.0003859381331200991,628,1.4755943505957392,0.30803257484496177,0.003489504404774365
1,0,0,1755,0.5228486311590475,0.06180600763274569,0.0002703038425589159,1809,0.5169752700442084,0.10738052510506407,0.0002531877926100265,1769,1.1559980342360476,0.302816189971444,0.0012620248279550982
1,0,1,2932,0.5173538772096936,0.06258725921715796,0.00017236579159914315,3004,0.5109118168846327,0.10663257831484092,0.000148862897396562,2967,1.1268760901847041,0.3043483481673899,0.0008499818740013749
1,0,2,1418,0.5296991511203598,0.06524690587391917,0.00017695518468163637,1445,0.5332404760875488,0.11615308271068192,0.00014908885069759187,1412,1.1965628035387392,0.3188926336618116,0.0009155696755927607
1,0,3,620,0.5319033667573723,0.06691045785793398,0.0002924841729263498,644,0.5291110003064154,0.11638549874494211,0.000321624025166404,619,1.2188007054476597,0.32853722885326697,0.0018964559002066438
1,1,0,3759,0.5190701443715507,0.0556704289041889,0.00019234021930914533,3813,0.5059042130111492,0.1022061881935976,0.00017924159902921947,3753,1.163204953602503,0.2773134892020792,0.000959506942443227
1,1,1,6968,0.5110507563820426,0.054305826956164156,0.00012314504812565918,7086,0.49164487704547577,0.09957721154393721,0.0001042724121423777,7034,1.1236959551789252,0.27085269670282397,0.0005895955412735571
1,1,2,1515,0.5247106749197067,0.05361776114417045,0.00018930244269152582,1519,0.5437554607148436,0.10666238688919098,0.00018458853183980504,1527,1.2073911910350856,0.27861870458306026,0.0010670014914766902
1,1,3,791,0.5224673113521562,0.05645355597150905,0.00027292986628261177,791,0.5370983180903636,0.11161862873303968,0.0002759991920156566,792,1.2055054614378518,0.2844699042145891,0.0013264114815582217
1,2,0,7629,0.545790343499469,0.0629515791756735,0.00019086133097395022,8061,0.49817058901472383,0.10129986174313994,0.00015977809056469606,6855,1.3489531846482081,0.3538192496276834,0.001130317784181146
1,2,1,17186,0.5361003268669803,0.061990044090829206,0.00012603093060503887,17890,0.48257160573619506,0.09888163999620415,9.787980197861346e-05,15990,1.307927691231681,0.34452713999748824,0.0007181282127786069
