glacier_type,precipitation_category,slope_category,AAR_n,AAR_mean,AAR_std,AAR_1σ,THAR_n,THAR_mean,THAR_std,THAR_1σ,AABR_n,AABR_mean,AABR_std,AABR_1σ
0,0,0,14651,0.5514892994430892,0.0613279723550806,0.00015371093399250537,15108,0.5116865448840247,0.1153156720430935,0.0001255531507096732,13725,1.320949860653666,0.3324691691335526,0.00091822686299969
0,0,1,16511,0.5460142024566527,0.056928956702130495,0.00012925872515573967,16949,0.5091826073402106,0.10238736257558442,0.00011718451449929374,16056,1.2816363008908367,0.3033752538888914,0.0007879982666850668
0,0,2,20788,0.5595128413093525,0.05405065494540745,0.0001178404420644976,21278,0.533165983914532,0.0965508852709983,0.00011329511128472904,20313,1.3373613160540878,0.29044558674011306,0.0007539517881883285
0,1,0,13262,0.5296160886632868,0.05404149013879063,8.527167632980168e-05,13468,0.49562120055222475,0.10603335211331395,6.485633342983939e-05,13133,1.2043502596726015,0.2835106977583245,0.0004308043657356006
0,1,1,17655,0.524539546041136,0.05196582066584152,5.485469103723993e-05,17887,0.49969299231784675,0.09769939082284898,4.634109105466166e-05,17629,1.1790386857466162,0.2645229309933862,0.00027907517912692417
0,1,2,20665,0.5375172050153866,0.05757752507897882,6.210825709289473e-05,21066,0.5208228798542786,0.10150952120206504,6.291618700210508e-05,20476,1.247327252525136,0.29596573261873854,0.00037772045927389903
0,2,0,12300,0.5321969395744134,0.05720753328795478,6.919347403589211e-05,12483,0.5171630233958185,0.11528858858020748,5.4961556524711377e-05,12210,1.2323545872869925,0.30134288587638747,0.000345251633873516
0,2,1,18120,0.5299996407029367,0.05145957376139095,2.689563861770447e-05,18205,0.527551856492687,0.09881565672754142,2.21554998008983e-05,17974,1.2383488611930449,0.27647986441574884,0.00014300643499875852
0,2,2,18174,0.5311774922714217,0.053735618055406796,3.787960573940734e-05,18327,0.5313714230965026,0.0953708315147463,3.689561087656794e-05,18021,1.2443969845832816,0.28450427624423524,0.0002230361749014291
1,0,0,7184,0.5473486340387994,0.06537429179803117,0.00023958664910242138,7593,0.5046003945497433,0.11408273261366444,0.00019176530889757708,6342,1.3477333608182864,0.36309504074969473,0.0014274411544898573
1,0,1,2859,0.5409484006784506,0.06611611960309363,0.0004147592724909503,3099,0.4710417120535137,0.10107010861532797,0.0003419569645807638,2709,1.2828393914069913,0.3510028314063955,0.002541076765146626
1,0,2,1227,0.5520398616361722,0.06880007933703525,0.0006379110414614248,1337,0.47894768105647106,0.10760397896706263,0.0005941177520190097,1142,1.3020083054458034,0.3467600858914492,0.003960453250854145
1,1,0,7450,0.5225942564323615,0.0584085842479709,0.00016131148460267684,7640,0.4843341186852567,0.09649217179238989,0.00011733407081211878,7231,1.20295503918705,0.3194790272160658,0.0007547829905790379
