glacier_type,precipitation_category,area_category,AAR_n,AAR_mean,AAR_std,AAR_1σ,THAR_n,THAR_mean,THAR_std,THAR_1σ,AABR_n,AABR_mean,AABR_std,AABR_1σ
0,0,0,19069,0.5474644371426083,0.05724780789533326,7.333523727993266e-05,19332,0.549698997946197,0.1050582563867974,7.303569031621399e-05,18894,1.2647025895934394,0.29176751223364966,0.0004374524097341656
0,0,1,19711,0.54861025706479,0.05455701823299023,0.00011864284595842238,19988,0.5116466894695679,0.10053268105857825,0.00011068365879288915,19391,1.2962963362198263,0.2902402875020789,0.0007175485181179897
0,0,2,13170,0.5674265025941412,0.05922673085273239,0.0002174668680361117,14015,0.4888924067240013,0.09860045194387876,0.0001814412611018913,11809,1.4262034646595332,0.3310774463661674,0.001445891829744535
0,1,0,21722,0.5295852895475903,0.05899833932402821,4.4908916647339485e-05,22124,0.5291921819085109,0.10697434280034374,4.008376950665496e-05,21739,1.1844855508749053,0.2910293817728561,0.00022511572334082673
0,1,1,20792,0.5288282875862076,0.05087448831503354,5.725835699963095e-05,20983,0.49793263811622807,0.09517028796163951,5.360688566147193e-05,20707,1.204941593655052,0.2605709287052126,0.0003176356975442982
0,1,2,9068,0.5396182046544488,0.05387157473771304,0.00013484264087800787,9314,0.47549079788492693,0.09316940412008926,0.000115388123671795,8792,1.3014127392774484,0.30037599724903963,0.0007947378458969633
0,2,0,20565,0.5256831519655406,0.06006675868590814,3.4030975958782083e-05,20866,0.5368431878965767,0.10687994342281033,3.089545087866644e-05,20587,1.1796546445031995,0.2941425615700613,0.00017339148706123312
0,2,1,18165,0.528962387440145,0.047529160871795914,3.4032916838242935e-05,18197,0.5207719330225283,0.09823567329636691,3.076017508664679e-05,18091,1.2330968769693476,0.25213900067200357,0.00017494709213560302
0,2,2,9864,0.5458191203185059,0.0479655806920859,7.612230397673715e-05,9952,0.5144709420948611,0.09702325905042943,6.043320423342047e-05,9527,1.3789130086484152,0.28085740218013366,0.00044251718551078476
1,0,0,898,0.5333490106836007,0.06526227485877911,0.0004562826773791266,926,0.5098400804805536,0.11704191707821515,0.000443194253719198,898,1.2024907730161625,0.33191183119513046,0.00236073017229644
1,0,1,2567,0.5268295697293227,0.06177443077599853,0.00030343139101266176,2625,0.49950218029922594,0.11161892083737954,0.0002794358058051575,2544,1.1969561025975632,0.31527970789816984,0.0016522078579224919
1,0,2,7805,0.5541009683040312,0.06592220297182855,0.0002627824138643052,8478,0.48929428794905405,0.1101498162734225,0.00020993065909875218,6751,1.3900958867239677,0.3610933157745825,0.0016734659056710634
1,1,0,1919,0.5153424082369974,0.06284678402843719,0.00022179254758667997,1970,0.5144514545418772,0.10750309736863761,0.000181840113356958,1945,1.1142139891561054,0.30289224866747877,0.0010150126371235217
1,1,1,4706,0.508351438175263,0.05404095586940298,0.0001515375550725789,4792,0.4929887849024619,0.09768575990206939,0.00013255523624458037,4761,1.1020946151716469,0.2624628803602912,0.0006787167064623506
1,1,2,9447,0.5289584379292349,0.061289599489329286,0.00015258001317005536,9808,0.4725199813094815,0.09248324337362848,0.00011696002479033206,9047,1.2535415702654062,0.3346487564168686,0.0007965992743905143
