glacier_type,precipitation_category,slope_category,aspect_category,AAR_n,AAR_mean,AAR_std,AAR_1σ,THAR_n,THAR_mean,THAR_std,THAR_1σ,AABR_n,AABR_mean,AABR_std,AABR_1σ
0,0,0,0,4396,0.5565983592922755,0.06127355855923193,0.00028093168869577917,4530,0.5213160339420002,0.12065092997838393,0.00023719326348936235,4106,1.3408019818632355,0.3284350670003396,0.0016675530865694328
0,0,0,1,9712,0.5493410642239497,0.0608314130661653,0.00018747655890225058,10005,0.5092903368819418,0.11176247858744229,0.0001501375229102472,9121,1.3143491706764572,0.33271133274817544,0.0011185177831520784
0,0,0,2,363,0.542738071589551,0.06589352360602016,0.0010200016168382389,377,0.47988194441618137,0.12098891350969694,0.0008584186070520425,349,1.2429844217350663,0.33728755315083986,0.0062212285822332335
0,0,0,3,180,0.5602722386769453,0.07056802865953946,0.0017043815521183166,196,0.47261924898905333,0.13089206774048517,0.0014648525555007613,149,1.360560745071273,0.3737368902932305,0.011913701580056687
0,0,1,0,2971,0.5626089510188195,0.0591658823924882,0.0003547441558020699,3098,0.5291863642231336,0.11155124424883843,0.0003396225522387784,2850,1.3695859457759834,0.32214825417626386,0.002244706898967553
0,0,1,1,13324,0.542349444499867,0.05575151793660965,0.00013891197811246564,13627,0.5046676965649549,0.09956633901555509,0.0001230735843970303,12990,1.2628653833642949,0.29577297076196934,0.0008378907743914594
0,0,1,2,188,0.542751213042654,0.05728617718735087,0.000651210916787608,193,0.5070374774394864,0.10372430951601908,0.0007441992112576901,188,1.2439265250614353,0.29512458502113337,0.004044645492117141
0,0,1,3,28,0.5510027398797552,0.05647212380109282,0.0020477375573919676,31,0.5081200390161046,0.12462325164835228,0.0021490091491729074,28,1.2911780367137469,0.3043101566941372,0.011555733575424958
0,0,2,0,2929,0.5774126021794942,0.05960467363373115,0.0004053392986352622,3127,0.5352225805697275,0.10642219871386242,0.00039208158242607597,2782,1.4288198579605385,0.32950842636470495,0.002693289187084646
0,0,2,1,17681,0.5564983302362407,0.052447405922785545,0.00012095620040712306,17964,0.5329465430993889,0.09456599624740472,0.00011521107083641295,17360,1.3226719892576526,0.28079471605405154,0.0007671033694035948
0,0,2,2,163,0.5663856916369665,0.05793434333998811,0.0007335841266214956,172,0.521997284673487,0.11192917446942742,0.0008569842226901442,156,1.3499474544260839,0.3048634392844961,0.005913892479413297
0,0,2,3,15,0.5429059140856947,0.05257466400153774,0.0038362758749681536,15,0.4953042060407047,0.08622634296722967,0.003703131477145671,15,1.2444021171430817,0.3029215043732877,0.03109604967799
0,1,0,0,4363,0.5303983643284884,0.05433145197072322,0.00016167490719815782,4416,0.4978277602919569,0.10755939620162043,0.000123250747566848,4327,1.210133463170304,0.28269670256445717,0.0008227771529531933
0,1,0,1,8478,0.5286750044193403,0.05288198788572979,9.848269028427993e-05,8610,0.49413265801670747,0.10398836571953228,7.514469725065707e-05,8432,1.1963691213111525,0.277810787190072,0.0004870302128283465
0,1,0,2,221,0.5470481258845852,0.0688799839802126,0.0008717142795269676,232,0.5087673124169793,0.11636619413409943,0.0006532181085488217,201,1.2964149703884524,0.36450292675033547,0.004648629618978108
0,1,0,3,200,0.533180904998265,0.07168740364763923,0.0010847795029268607,210,0.4957273218261456,0.13886808716440327,0.0007554881643801423,173,1.3417377179112895,0.3953738670544885,0.007306878873987672
0,1,1,0,4368,0.530861487476753,0.052598371972480185,0.00011585401192409246,4424,0.5091782830822736,0.10043221202768446,0.00010553889484122304,4363,1.2114452275385303,0.27234375544525424,0.000623374954976322
0,1,1,1,12931,0.522113063629183,0.05119104773180275,6.233274326280727e-05,13092,0.4963773120519521,0.09616373350671899,5.0950711999922635e-05,12927,1.1659754574435195,0.25886199935666987,0.00030782863003356434
0,1,1,2,243,0.53741810737863,0.06313092898857259,0.0006221876745833754,254,0.5028526365023505,0.11096461389442444,0.0005190546570683404,232,1.2550733032353203,0.32173767782290963,0.0035525060271361787
0,1,1,3,113,0.5301423201400506,0.06335604747007981,0.0008530663743132816,117,0.5051922237401072,0.10946421144891313,0.0007020964273004843,107,1.2709880238646607,0.31960527707949765,0.0050610186177628014
