glacier_type,temperature_category,precipitation_category,AAR_n,AAR_mean,AAR_std,AAR_1σ,THAR_n,THAR_mean,THAR_std,THAR_1σ,AABR_n,AABR_mean,AABR_std,AABR_1σ
0,0,0,17401,0.567424812753024,0.06027947250390209,0.00017016091799291303,18264,0.5188309761632306,0.11002728416192709,0.00015423966971322387,16080,1.4150100508093013,0.33057862023332374,0.0011043464167517342
0,0,1,2214,0.557266071893425,0.059376269448643035,0.0003598238228372902,2311,0.5058794110018711,0.11402035133166431,0.0003661424699324128,2144,1.3378565999307346,0.31817752792361326,0.0022595449625751004
0,0,2,54,0.5687563561170206,0.05528580116150376,0.0017812564992810232,67,0.5252822146992606,0.11996339846733474,0.002585522739384866,51,1.3969121028173304,0.28871377727046055,0.01047994930718966
0,1,0,26598,0.5467802078723167,0.054140906014709736,8.754414471013576e-05,26958,0.5197767337684178,0.10162010475723583,7.615571376611385e-05,26120,1.2754201456103276,0.2840443784234916,0.0005245566290327785
0,1,1,20157,0.5348303611601463,0.054765896244339314,6.824859196730788e-05,20421,0.507614459440079,0.102003848069073,6.041012867913774e-05,19898,1.2364334336748715,0.2869907688580903,0.0003798534586246202
0,1,2,1697,0.5338637166815886,0.054183160619153355,0.00016431889246881483,1711,0.5260325111053312,0.10110392833651409,0.00016290748296226708,1658,1.2685509604734844,0.29439169623273065,0.0009372387085349754
0,2,0,7951,0.5419751015391852,0.055234501532434754,0.0001508183077430207,8113,0.5198239862043919,0.10183532724513764,0.0001352388839018467,7894,1.2422693029169245,0.28222339073056035,0.0008991597178031135
0,2,1,29211,0.5264436212993261,0.05421668216334024,3.95826313921473e-05,29689,0.5069085342916818,0.10109360367511339,3.315438567830737e-05,29196,1.1875380449547188,0.27506699705814136,0.0002038902444472565
0,2,2,46843,0.5308489212988994,0.05378578594231371,2.479267183853169e-05,47237,0.5263466372695746,0.10220862372791455,2.098830090272069e-05,46496,1.2378679884575998,0.28556899172960093,0.0001322864472046239
1,0,0,5232,0.5638095308069547,0.06515938915065184,0.0003309179758422036,5735,0.515941120854405,0.11672610520603868,0.0002799735397723136,4400,1.4521616785198792,0.34697813488639156,0.0021782151867256725
1,0,1,680,0.5601330796180022,0.06870137621272634,0.0009378663403214065,767,0.4522914568119065,0.1072078333772849,0.0007417393299925982,590,1.3892736395526435,0.35507464188962445,0.005959053321437877
1,0,2,3,0.5813358356881432,0.09051557233250665,0.00920832723709449,2,0.3517447153416607,0.15946726344333384,0.003405348312028142,2,1.28000144571984,0.42216598000148386,0.0
1,1,0,4452,0.5314190079493011,0.061964500753743545,0.00028125930119062454,4635,0.47247450459632695,0.10001597072773785,0.0002133898844118597,4233,1.2385721340478062,0.33989972469258617,0.0015942375612029369
1,1,1,7054,0.5253406873961423,0.060379269931763235,0.00016592745704160214,7252,0.48199118601579,0.09637777189646074,0.00013193360559419161,6807,1.2128508178523194,0.3294777096410093,0.0008406462094851238
1,1,2,671,0.5295407122210847,0.06318969607725589,0.0004908539227292475,692,0.49497782535942975,0.09583905739798741,0.000347095165301167,633,1.2749490882877414,0.3574490445891564,0.002431296125127883
1,2,0,1586,0.5298537743567041,0.06553325942180542,0.00040653353667501643,1659,0.4717905088237206,0.10565090756617432,0.00033979833860261875,1560,1.2032327830374285,0.3312562979074287,0.0022572235480187663
1,2,1,8338,0.5147122342941279,0.05773543649299859,0.00011937588195663834,8551,0.4874330453774118,0.09600413701089418,9.123639313600279e-05,8356,1.158384668917564,0.30068238007510184,0.0005506594024695799
1,2,2,19644,0.5291376655043905,0.05785340937442549,5.8596611989145124e-05,19984,0.5124455500920914,0.10095635751073305,4.70690720612718e-05,19068,1.2554580470229517,0.317982850831831,0.0003081025236534221
2,0,0,1187,0.6065073916292508,0.05709492848609325,0.0009072457327390905,1571,0.5499769507539369,0.11508903036786428,0.0007527662723535168,862,1.6571527370172483,0.31926427320703665,0.0072149522628959205
2,0,1,24,0.5906151796121054,0.05847607282525595,0.004832492055499229,26,0.4579707124380541,0.10921694460556604,0.004167531238699094,21,1.5186689547108871,0.3076171953352373,0.03730517018190394
2,1,0,733,0.5917360073007817,0.05251836751811585,0.0009947381333963062,850,0.5087816016087813,0.10687137808139821,0.000822389044307678,619,1.5201270898639843,0.29827394021208053,0.007196777355797421
2,1,1,99,0.5760135459435438,0.05933726500055134,0.0018116727374341615,112,0.5162774808543639,0.10801510630410041,0.0016075792333844464,84,1.4467453098921157,0.3265440099070426,0.011364659299208877
2,2,0,134,0.5714516783578055,0.05515283996173136,0.0022059982980347087,145,0.499192983468378,0.10330710101517651,0.0018531502542802796,126,1.4087814388358584,0.31412245539726924,0.014770272731332978
2,2,1,169,0.562717226496211,0.059304080067880155,0.0012441136145932932,175,0.5006098090102697,0.1051658338287443,0.0011094002687141978,134,1.3525701109486998,0.3207061722678761,0.008606881638503209
2,2,2,302,0.5718531633693066,0.055069334554081334,0.0004561762421176088,308,0.5424528757926363,0.09470563067826883,0.00039514882329264793,207,1.5677489537072395,0.30833252955777235,0.004279408756857857
3,0,0,1064,0.5929527241075032,0.059956184126349815,0.0007361470090511892,1319,0.5742899835885015,0.11444518020241665,0.0006270722116592358,739,1.6345076579687068,0.31917143943485105,0.0058081585639627835
3,0,1,54,0.5974584794787348,0.061034235081757204,0.0034598951836275964,68,0.4614761241801069,0.14218355583583364,0.002595585910794639,35,1.6252922816416933,0.2865398362049941,0.029882351044234173
