glacier_type,precipitation_category,area_category,aspect_category,AAR_n,AAR_mean,AAR_std,AAR_1σ,THAR_n,THAR_mean,THAR_std,THAR_1σ,AABR_n,AABR_mean,AABR_std,AABR_1σ
0,0,0,0,3519,0.5556894184745282,0.06250741330373243,0.0002291466277391726,3619,0.5429635129390544,0.11961585177988561,0.0002202852035868909,3459,1.3098592755056149,0.32502915194775767,0.0013688600119053063
0,0,0,1,14940,0.5457021731361026,0.05546398814635505,7.356062713417569e-05,15078,0.5530782948814071,0.10015348314148738,7.449829643283136e-05,14849,1.255198221721405,0.2813765999902298,0.00043894139175394204
0,0,0,2,462,0.5412389453477315,0.06288101019233122,0.00047575708055985554,470,0.5148478632620904,0.11152412483182293,0.0004489833929070548,454,1.2270118095742253,0.3064553519029691,0.0028133836288153293
0,0,0,3,148,0.5492258706520793,0.06723613012561808,0.0014998494159573184,165,0.48789726675396716,0.13504302302371526,0.0013778712079802614,132,1.2801949842172806,0.3477240203315915,0.010110509228239526
0,0,1,0,4121,0.561365164835657,0.0588130154773354,0.00030915681377691477,4230,0.5275206455224404,0.11216163850185204,0.00028754634609644335,4001,1.3630942613960046,0.3152218163984238,0.0018953725888389286
0,0,1,1,15336,0.5450009887496893,0.05274081093475509,0.00012583801756992883,15495,0.5080238017057955,0.09635674119107038,0.0001175008579823973,15152,1.2780225917068613,0.2798857239752711,0.0007564712739211378
0,0,1,2,201,0.5557520880733416,0.057694106193854934,0.0015038736068383697,208,0.4718912731438625,0.11242723376049978,0.0013034008710555447,194,1.3133189487744719,0.32154643037891123,0.009588662207563391
0,0,1,3,53,0.5741433877048625,0.05863124441803071,0.003270164455602629,55,0.46180920568318024,0.10507574909945541,0.002969477361411357,44,1.4399984133779251,0.34917609150782375,0.025432150594376927
0,0,2,0,2656,0.5800836539193851,0.05860372754715951,0.0005012067817207797,2906,0.5086802187459414,0.10718610209112661,0.00044198806958565173,2278,1.4921362396922202,0.327410267221189,0.0035124580237008663
0,0,2,1,10441,0.5641208467625316,0.05884973860722059,0.0002419656221717554,11023,0.4840120551736127,0.09522899888485581,0.00019825779199882129,9470,1.4098573543053325,0.32971769283604446,0.0015875564838828038
0,0,2,2,51,0.580655947499174,0.06684623149614674,0.0032036561319245156,64,0.444146540741486,0.12848638386605746,0.0026635762708274798,45,1.4756514484135819,0.3710603170606752,0.02278938125954753
0,0,2,3,22,0.5775290902228754,0.0831000257258728,0.006650146111863115,22,0.4505500806811256,0.12247821980605775,0.004894568840960327,16,1.5748062309650661,0.3509875609140576,0.04146106448856323
0,1,0,0,5495,0.534117548206066,0.06007248827135417,0.00012252652985775874,5598,0.5295226791177328,0.10929813775905253,0.00011124161390234731,5480,1.2093993238005767,0.300493381783219,0.000644478096968125
0,1,0,1,15617,0.5278553927792828,0.0582898265160355,4.326933384375762e-05,15902,0.5291279078461364,0.10608756232284984,3.8460161203110676e-05,15659,1.173952386640428,0.28574607756340986,0.00020597805808020945
0,1,0,2,399,0.5363782169819393,0.06388545683628426,0.0003043782708775525,405,0.5328526153557536,0.10261796965808272,0.0002549244322944329,394,1.2260175301956298,0.31127656778204893,0.0016928195846147153
0,1,0,3,211,0.5267448082965446,0.06610528576935021,0.00077791820016659,219,0.5186418952259625,0.11845398156447444,0.000539093662905962,206,1.242969741470215,0.33744769878368447,0.0038465406772568867
0,1,1,0,5444,0.5354507325170408,0.052505511607147115,0.00013498239361662214,5529,0.5044696095388913,0.09888336230267183,0.00013210542140810658,5408,1.2326748993199912,0.2710993734923219,0.0007919521965616647
0,1,1,1,14993,0.526020308390501,0.04961751063891003,6.141866719891608e-05,15084,0.4956529235565468,0.0931341726240253,5.5599195935475236e-05,14966,1.1918907663789462,0.2526618869697737,0.0003265584827215627
0,1,1,2,230,0.5473368031481486,0.059060801829625864,0.00052374104411377,242,0.49311612565034707,0.10479656770548776,0.0005471013312207818,219,1.3197557872656505,0.3234353885878575,0.003233113737285582
0,1,1,3,125,0.5431521539744214,0.07168267055376264,0.0009750901737827392,128,0.49332244623397903,0.1313288621464377,0.0008146306441156163,114,1.3820701513523044,0.38991127541425585,0.006390981508526923
0,1,2,0,2340,0.5441538915253479,0.05478034541231714,0.00030194763912956904,2439,0.4785485844728563,0.09809352638819739,0.00027691334676880166,2272,1.3214671779878329,0.3040806352036723,0.001775277468904669
0,1,2,1,6520,0.5369708963815538,0.05243486684425817,0.00014683519242052764,6639,0.4750642581361551,0.09047391598105704,0.0001209650664797769,6359,1.2875534671150373,0.29354699656418776,0.0008570374295996909
0,1,2,2,135,0.5873241086572994,0.06683158587861573,0.001742536889101019,152,0.4552478057023185,0.11079731984047717,0.0013024091927649614,109,1.5923013781393331,0.36671974496621296,0.012128034575061198
0,1,2,3,73,0.5424489665857691,0.07179133549256438,0.002122799755038002,84,0.45704783021697654,0.11399036914204777,0.0014453596312248647,52,1.5102697641780982,0.37489053512132303,0.020217963386332503
0,2,0,0,4866,0.5259957476401215,0.05850876770261136,7.031662884137148e-05,4915,0.5293454201566844,0.10632123925841125,6.506400385168672e-05,4856,1.181274409729349,0.28502275698862395,0.00035202717308646506
0,2,0,1,8610,0.5220139397212017,0.0577114122112213,5.514633407385376e-05,8722,0.5255983382956304,0.10357312821274856,4.784271392638827e-05,8617,1.1621736388114947,0.27902859744346775,0.0002587387344415747
0,2,0,2,4819,0.5292553377049504,0.06248161820114601,6.0251515824190195e-05,4906,0.5583719758998629,0.10735498154600227,5.6991728674420096e-05,4838,1.1956051314850429,0.3087805962298561,0.0003393988755356536
0,2,0,3,2270,0.5313467924029992,0.06574605928361504,0.00011053942785260859,2323,0.549460007834976,0.11115971136679972,0.00010634100503221919,2276,1.2084770478815297,0.33077869625971934,0.0006446609322511663
0,2,1,0,5045,0.5301078381657047,0.047050282568682496,5.9922031721163e-05,5061,0.5221540297210312,0.09745097209421878,6.407444386876525e-05,5025,1.2346629272146004,0.24922097459885686,0.00030694759931942266
0,2,1,1,9622,0.5247011457159814,0.046108088512750584,4.317741300115622e-05,9636,0.5121058902979642,0.09621267594049662,3.731232550702231e-05,9610,1.2078692336616492,0.2422696218307551,0.00020047910652195628
0,2,1,2,2360,0.5384661430399643,0.049724164411542184,0.00011162049848767973,2363,0.5453997084207904,0.10031923755831813,9.024868150189521e-05,2341,1.2974240015710645,0.26713778049345327,0.0006125250467651177
0,2,1,3,1138,0.540204923243204,0.05172526206199987,0.0001941150154387029,1137,0.5368807835385193,0.10329075188251906,0.00016074825078959,1115,1.3084138733926376,0.2760386527093922,0.0012264566696431889
0,2,2,0,2663,0.5454695580685084,0.04649482253854594,0.00012600637859510984,2695,0.5186292421923971,0.09824654851706166,0.00011898924091667185,2576,1.3674180580581694,0.27167058545277334,0.0006703094670111148
0,2,2,1,5408,0.5418983174072115,0.046178273020919446,7.3443520800459e-05,5436,0.5103849247257187,0.0954638941395283,5.9402386961386604e-05,5274,1.3586428651629519,0.27352457217918114,0.0003830443462633993
0,2,2,2,1188,0.5567894580943104,0.053240650517823056,0.0003788734713009196,1199,0.5255274950106492,0.09901074272229053,0.00026638040193854645,1117,1.4556942884733888,0.3037112294513581,0.002444214305922963
0,2,2,3,605,0.560863459390189,0.05272515249243403,0.0004982414434346127,622,0.5108506281234274,0.09913496179798761,0.00036874122729165697,560,1.469539865609682,0.2997798768273358,0.0032226577045314114
1,0,0,0,187,0.5477251782607304,0.06511014411019332,0.001594325024548308,194,0.5209944261477361,0.12231849077435639,0.0016580429508526136,184,1.2934788743026917,0.3431079369838972,0.008161505792901537
1,0,0,1,529,0.5263800587385767,0.06564668240268506,0.0005168461339233052,546,0.5060378209490326,0.11501700911826837,0.00045054437437450247,534,1.1675317884988667,0.3330889227203824,0.0027528649725894823
1,0,0,2,141,0.5373214684392305,0.061773874807489894,0.0,142,0.5091209547092626,0.11538867965658253,0.0,139,1.2032805537445816,0.2935370461540267,0.0
1,0,0,3,41,0.5440347594262986,0.061452836228221716,0.0015896268066818364,44,0.5101629555782905,0.1243169421118058,0.001515487057121496,41,1.2467958358030948,0.3159340375321841,0.00681118295642897
1,0,1,0,713,0.5349389651096875,0.06405997565267078,0.0006946678912970092,727,0.512462560232852,0.11811438812542663,0.000642839497570336,695,1.2397415468643884,0.3255688308003884,0.003915004020069988
1,0,1,1,1653,0.5218087206992718,0.06041170707912894,0.0003456686876452856,1696,0.4964026145445427,0.10946996469944106,0.00031248907298432604,1650,1.1745628354029736,0.3097254984490864,0.0018449487374196415
1,0,1,2,161,0.540845907932956,0.056345628633243855,0.0009597178529489571,162,0.4787956753378477,0.09446639064909443,0.0009646274036612832,160,1.24194548441515,0.29866260376256076,0.00511983652003183
1,0,1,3,40,0.5333504219715495,0.07360366993523992,0.0026239613558540916,40,0.47923020809772365,0.12300046360450988,0.0029936228197319104,39,1.1973331799005367,0.3411404579254841,0.014630996130019261
1,0,2,0,1989,0.5660681888180915,0.06432118811919858,0.0005325637961830069,2209,0.508374841731132,0.10970743028178015,0.00043999636534645037,1618,1.4431507903969074,0.35599016940274353,0.0035778437673204457
1,0,2,1,5644,0.5493934978331311,0.0660243344750034,0.00030776148731960257,6068,0.48330876858061217,0.10977883134952712,0.0002418545009273417,4973,1.3728091755280005,0.3621549534713416,0.001927445703497551
