glacier_type,temperature_category,precipitation_category,slope_category,aspect_category,AAR_n,AAR_mean,AAR_std,AAR_1σ,THAR_n,THAR_mean,THAR_std,THAR_1σ,AABR_n,AABR_mean,AABR_std,AABR_1σ
0,0,0,0,0,2283,0.5634491999932764,0.06376029250304582,0.0004476210378999394,2358,0.5203719442503166,0.12293510329466822,0.0003839191387402278,2048,1.3921413174074722,0.34431092888000003,0.0027958024117339586
0,0,0,0,1,4310,0.5605293986097925,0.0635093296447604,0.0003299103719084212,4483,0.5204158145557156,0.11684725199064344,0.00027594080269802954,3856,1.4014332834790486,0.3501857109789201,0.0020689570267917
0,0,0,0,2,45,0.56766175738766,0.06947702250398559,0.006477010812075274,47,0.4023161396510932,0.09778823550539814,0.004917965429583783,37,1.4765969026993304,0.3753275684385502,0.042893979214765135
0,0,0,0,3,38,0.5650872200681757,0.08599921410718586,0.005042341169830349,42,0.4467279273210928,0.1235617813653301,0.003744349054380885,29,1.5109931698070564,0.3718840147664178,0.03640724075054708
0,0,0,1,0,1205,0.5695717782943888,0.06080404466008446,0.0006625935934132642,1281,0.5211288082217651,0.1102027668843104,0.0006376363346032654,1129,1.4342743312920114,0.335937394766702,0.004396271110429424
0,0,0,1,1,3474,0.5620412306665988,0.05946211336265255,0.00037378570015660746,3687,0.5057965381691288,0.10582150464580496,0.0003443050647329681,3225,1.4010744931213313,0.32821837260248804,0.002410826989658922
0,0,0,1,3,1,0.5767912387628947,,0.0573366516069751,3,0.3572287653533974,0.11387875977672704,0.009251224637371528,1,1.5671950099511458,,0.32356054011189883
0,0,0,2,0,1322,0.5844761517121457,0.0602656239806219,0.0006954794088340369,1431,0.5339208994791752,0.10936792240134235,0.0006476055818989755,1236,1.4737947343193278,0.3379134572102977,0.00468414418931823
0,0,0,2,1,4723,0.574292896399483,0.05366317764821863,0.00032850391670220845,4931,0.5232947621414311,0.09783890433042926,0.00031216692843155544,4519,1.4248590669550685,0.3009488031803381,0.002174582035705483
0,0,1,0,0,156,0.5347887266300341,0.05862378693070178,0.001131681600011159,156,0.4926027359605486,0.10473423782886813,0.000993946830476324,158,1.2426310674242456,0.34291396626040893,0.005851188543571156
0,0,1,0,1,134,0.5401930105217757,0.060650303138288786,0.001166604431324734,136,0.49698532267863343,0.11260559011314071,0.0007977722835168517,131,1.287225502819923,0.3427946126563466,0.006600038169610407
0,0,1,0,3,7,0.587168806679432,0.09731477749793775,0.011140438099708121,8,0.4318122714424377,0.1454411761619856,0.01041666666666656,4,1.7808093962166431,0.21604536917386316,0.14374726678105842
0,0,1,1,0,214,0.545544382121343,0.05619969751317584,0.0009775081712041082,216,0.48983696236313556,0.10561913492443256,0.0008265093773861739,209,1.2735543093611155,0.2923763240054453,0.006532174643732501
0,0,1,1,1,209,0.5453244027298049,0.05721223724221097,0.000714700420086483,210,0.4880011116224119,0.11295694043722845,0.0007262778404934295,202,1.2739853601266262,0.28273807214820873,0.004566204904059672
0,0,1,2,0,669,0.566882380307762,0.05961935349629594,0.0008000095702992467,730,0.510133690731608,0.1188330619242984,0.0008305438169504989,647,1.3806288735902175,0.3224750840847305,0.005067397269454604
0,0,1,2,1,824,0.5622871474152527,0.057583885493037036,0.0005664666655931914,854,0.5151760937353614,0.1126139960505896,0.000582260926779877,793,1.3612790523698177,0.3101529132674103,0.003582787320272388
0,0,2,0,0,2,0.6136620502493491,0.08286050592087192,0.0,2,0.5764678903164324,0.07987214568421265,0.0,2,1.7420333645418138,0.6148229336911768,0.0
0,0,2,0,1,2,0.5800120635770332,0.010459164483167834,0.0,2,0.4962107487215609,0.02876159806827884,0.0,2,1.4372706006966431,0.033234453887223264,0.0
0,0,2,1,0,3,0.5035696790161176,0.05918140484513276,0.0,3,0.49260797441133986,0.06292868491842983,0.0,3,1.0870220248459683,0.2677888157064014,0.0
0,0,2,1,1,4,0.5235369635922885,0.08651438457020508,0.0,4,0.5548724758183337,0.13803653888594392,0.0,4,1.1955875603263364,0.45758351113226076,0.0
0,0,2,2,0,31,0.5726049250732914,0.04322557178660219,0.002648006793539077,41,0.5257648783173507,0.13107017843434174,0.003572040552977808,30,1.4341425747990486,0.23643204829500875,0.01781591382222242
0,0,2,2,1,12,0.580823786164734,0.06185581447962167,0.004178008191932138,15,0.5196584846170492,0.11219760029613678,0.0061680055285960236,10,1.381621575339223,0.2708791025448759,0.0
0,1,0,0,0,1701,0.5506395122991814,0.057477016465177,0.00035956749696471665,1732,0.522742233378752,0.11924941409788258,0.00029027100254985213,1645,1.3031935410079512,0.3012778200020792,0.002007167864779442
0,1,0,0,1,4393,0.5417639931712439,0.05671162668939187,0.00023802227764937144,4486,0.5007555707644529,0.10651777053555457,0.00017669771873797432,4273,1.2627011410997007,0.3069306114977297,0.0013675213496558952
0,1,0,0,2,96,0.5360379741124853,0.07190869614264754,0.001574467988003046,99,0.46615582684070905,0.12061993346942808,0.0013301853311376759,91,1.203854468871191,0.33587058853243174,0.011277136777172177
0,1,0,0,3,73,0.564649899083077,0.07611396377614944,0.0031693768353833504,82,0.4426314069055502,0.1347770669425576,0.002821943857220884,50,1.396112209844073,0.42322900959830906,0.02646309033631809
0,1,0,1,0,1401,0.5580015700195383,0.05771783424763772,0.000427921246186141,1441,0.5321055136641115,0.1124563465541757,0.00040357470885228874,1363,1.330558797748191,0.30880639088730577,0.0025671081188783614
0,1,0,1,1,7614,0.5367306279919792,0.05217865110144591,0.00015379484994506015,7679,0.5043631537385644,0.09723011820895205,0.00012630181733842515,7543,1.2249854741471102,0.2683451406312054,0.0008997329678349057
