glacier_type,temperature_category,precipitation_category,slope_category,AAR_n,AAR_mean,AAR_std,AAR_1σ,THAR_n,THAR_mean,THAR_std,THAR_1σ,AABR_n,AABR_mean,AABR_std,AABR_1σ
0,0,0,0,6676,0.5616019060871615,0.06378587389321168,0.00026744270615880006,6930,0.5191533293948928,0.11938278189012745,0.00022484759356884858,5970,1.3992437263768833,0.34852672641297644,0.0016755881349181407
0,0,0,1,4680,0.5639833374827491,0.05988855162785113,0.00032594783130283493,4972,0.5096116445423451,0.10726363997213735,0.0003036582774840641,4355,1.4097194386578475,0.3304896055432128,0.0021193578011060397
0,0,0,2,6045,0.5765199044265037,0.055329805653937636,0.0002983436559441026,6362,0.5256848914294399,0.10063635045333122,0.0002824162303788751,5755,1.4353689687556286,0.3098822316751486,0.001981862741145203
0,0,1,0,298,0.5385867897029711,0.06083738685529467,0.0008506639970299777,301,0.4931705090701248,0.1094826208823302,0.0007124746479436994,293,1.2699163382501957,0.346601100103671,0.004744925771674736
0,0,1,1,423,0.5454356925401811,0.056635099007819135,0.0006076671366097588,426,0.48893196551911683,0.10917290916216683,0.000551185444917326,411,1.2737661639952595,0.2873290697740455,0.0040087774716051
0,0,1,2,1493,0.5643462303389557,0.05852962465309371,0.00047565575147228366,1584,0.5128522590177226,0.11551227104486869,0.0004950293790391924,1440,1.3699730345431502,0.3157850506697837,0.003012752026093912
0,0,2,0,4,0.5968370569131911,0.05198582872987549,0.0,4,0.5363393195189966,0.06744874092380714,0.0,4,1.5896519826192286,0.3966493459570029,0.0
0,0,2,1,7,0.5149795559167867,0.0708784950328556,0.0,7,0.5281876895010506,0.10933767011323939,0.0,7,1.1490594736918929,0.36326645298289395,0.0
0,0,2,2,43,0.5748985607267172,0.048483046762170676,0.0022369267665389592,56,0.5241292371476272,0.1253229566715674,0.0030933932774783223,40,1.4210123249340922,0.24296096022315947,0.013361935366666817
0,1,0,0,6263,0.5443535239613676,0.057610590331944905,0.00019838732745454857,6399,0.5054265105305233,0.11146590705689963,0.00015247480977231189,6059,1.273911820108365,0.30774729153984204,0.0011416831897800128
0,1,0,1,9030,0.5400419760896102,0.053640408882496805,0.00014580836256092498,9135,0.5086840410229689,0.10037025804725151,0.00012386067417356048,8921,1.2411609413985802,0.2776090997055679,0.000856793157483394
0,1,0,2,11305,0.5535068380653387,0.05172296080522562,0.00012953769394118635,11424,0.5366848943714434,0.09410400561396438,0.00012325510021094025,11140,1.3036755589845999,0.27243650426288357,0.0008101668789883594
0,1,1,0,5224,0.5300644480346618,0.052543164696314475,0.00015057799622500103,5278,0.49395142401635866,0.10514803414122131,0.00011382469473429569,5141,1.2154519788816875,0.2840431570984709,0.0007613843233861765
0,1,1,1,6488,0.5270988464017442,0.052055878336687955,0.00010727075847010815,6551,0.49964047423223706,0.09847031618806688,9.191163928635882e-05,6444,1.1961818925169998,0.2698344855192319,0.0005641865825846943
0,1,1,2,8445,0.5437183656503825,0.056841511183582875,0.00010520578371504557,8592,0.5220873502760855,0.10086901602617976,0.00010399551998959004,8313,1.2806108173285562,0.2955488788551493,0.0006431933550753189
0,1,2,0,377,0.5250932897517973,0.05571299859854315,0.00042982514172146193,377,0.5093184091800055,0.10808794529964075,0.0002826604441409068,372,1.2042425811373023,0.28988700134260176,0.0018742256332834684
