glacier_type,temperature_category,area_category,slope_category,AAR_n,AAR_mean,AAR_std,AAR_1σ,THAR_n,THAR_mean,THAR_std,THAR_1σ,AABR_n,AABR_mean,AABR_std,AABR_1σ
0,0,0,0,1299,0.552183427794781,0.07064645782062295,0.0005260724582436216,1386,0.5003989691152038,0.1285795965581994,0.00044290133586102643,1256,1.2978544251374968,0.3588551087628579,0.003037804202543043
0,0,0,1,1335,0.5450406671369566,0.06012271515213043,0.0002674731662107061,1355,0.5405774039469865,0.11282586935673307,0.0002845182541342042,1327,1.2724049974648677,0.30711405919546336,0.0017056923398566417
0,0,0,2,3698,0.5609581894580759,0.05552329446605573,0.0002139485431874968,3747,0.5549676154805545,0.1025431637236859,0.00022917606689521977,3645,1.3404791759715067,0.29809161170986237,0.0013846949681330207
0,0,1,0,2369,0.5452509954229441,0.05983492092906442,0.00036349707660147815,2367,0.5188699023229644,0.12403356111911333,0.00032095176199814995,2303,1.3026863552962242,0.31655163866286223,0.002024523265830183
0,0,1,1,2022,0.5551515365800193,0.05609596069704633,0.00042082251263673954,2056,0.5125007268764963,0.10827813630455692,0.0004191445656723069,1962,1.3670751095685483,0.3061369116098138,0.002578491484519385
0,0,1,2,2826,0.5800511218023596,0.052797680492109436,0.00047266545618921026,2973,0.5101755783291652,0.09753223959560145,0.00044223060584621456,2686,1.466155223027761,0.2936228224754172,0.003095696801344209
0,0,2,0,3310,0.5749711950859981,0.060550383453839667,0.00043188221991732466,3482,0.5245847855320681,0.11072905917984903,0.000354073184005482,2708,1.5146740425730716,0.3345095337482313,0.0029932216835832264
0,0,2,1,1753,0.5839249724258664,0.05759848844209653,0.0007082520780643383,1994,0.4812374879618594,0.09573086628737888,0.0006025021612028352,1484,1.5500044935737531,0.3197541223134579,0.005095835582158587
0,0,2,2,1057,0.604261615360541,0.052565345263880084,0.0011016517307851803,1282,0.4601410649455467,0.08644539621225135,0.0009252934788786769,904,1.6216930890038008,0.302206066031089,0.008172447081521306
0,1,0,0,3001,0.5389357154617441,0.06598704191069817,0.00024673545003378735,3100,0.5102710858024377,0.12297961642876469,0.00020427920977058152,2934,1.2226576651782655,0.32619960044529794,0.0012679106628391734
0,1,0,1,5399,0.532258717411138,0.05672502247669371,8.204372281639665e-05,5419,0.5414053050749063,0.10474470752708648,7.973168664812365e-05,5390,1.1918331747778084,0.2815774641709905,0.000370529324043219
0,1,0,2,10540,0.5424852331135247,0.05360467553905582,5.127643352356756e-05,10553,0.5574876918496856,0.09502565719048962,5.595010240861929e-05,10499,1.2474440809697867,0.26877970238242405,0.00032596914295783904
0,1,1,0,4252,0.5272069905810641,0.04990876039343422,0.00014861835537985672,4274,0.5047154866688613,0.10718489764691333,0.0001226939817046381,4248,1.1843198700128812,0.2555275076372704,0.000733143166887212
0,1,1,1,7039,0.5287299122636027,0.04812981566580423,0.00011035563836828987,7077,0.49793682871832146,0.0939176095986531,9.696014527577837e-05,7022,1.1943079614715544,0.24401839585581153,0.0005903258002837463
0,1,1,2,8195,0.5520596542301986,0.05278341391742599,0.00015873512568060242,8325,0.5118518773220464,0.0912941286670321,0.00015100524757161437,8057,1.3226085948344948,0.28103434153356566,0.0009837762684279862
0,1,2,0,4611,0.5459277296222441,0.05222874148659468,0.00024161934763347845,4680,0.4902390045072118,0.09895269529538944,0.00017203518265761442,4390,1.3204966251031127,0.30123430022820913,0.0014428449745756205
0,1,2,1,3617,0.5490013578082046,0.055132379491808284,0.000330721972696112,3728,0.4675210876180523,0.08434355706040834,0.0002679947877013174,3480,1.3300129070855993,0.2987312488207244,0.00204807539819536
0,1,2,2,1798,0.5731054040103011,0.05591211705148062,0.0005529728223097215,1934,0.46527270117668923,0.08480852512093953,0.0004920173355405353,1656,1.4568275897174712,0.3057077119152332,0.0036783344617668376
0,2,0,0,7150,0.5358316684022476,0.06678102396200265,0.00012073376181973101,7503,0.51210096189966,0.12327018454750065,9.989186863186778e-05,7138,1.2072638711200376,0.3334560854470189,0.0006215840843550695
0,2,0,1,11740,0.5240235334958319,0.05772388951193751,3.8944409243982925e-05,11917,0.5312122279277279,0.10435191309725221,3.8852190047198756e-05,11768,1.1597858739176221,0.2797139838888195,0.00018579237746652288
0,2,0,2,17194,0.5259129997039759,0.05744768209408949,2.5065981911436306e-05,17342,0.5454542063842798,0.09852826009690684,2.706354182724557e-05,17263,1.178923455627993,0.28042754811141823,0.00014003273531539446
0,2,1,0,7342,0.5225444072566093,0.049243484442444634,7.659285265462403e-05,7334,0.5116268272281146,0.10824739088882014,6.085989018540953e-05,7360,1.1609647049285605,0.2435168690591968,0.00035703291757349935
0,2,1,1,13191,0.5243279066152264,0.046235561008479746,4.215293858845247e-05,13239,0.510808358921217,0.09569190199418692,3.6144242167084906e-05,13198,1.1923448044306506,0.2372264280242711,0.00021272602225045335
0,2,1,2,11432,0.5356667702922829,0.049325777508567314,7.309629719291579e-05,11523,0.5116462789269329,0.09062941196069269,7.105110245261235e-05,11353,1.2701344796471057,0.26099427420255095,0.0004483414019320178
0,2,2,0,6879,0.5369239249408085,0.05058538333167054,0.00010998804517719677,6933,0.5026875597652178,0.10371905103670191,7.530783574287622e-05,6731,1.290222975046619,0.2845820898942495,0.0006009145426204238
0,2,2,1,6190,0.5422027817575211,0.04949923494589135,0.00012391990091238555,6256,0.5007534848773063,0.09186713180935199,9.60346223294644e-05,6028,1.3481478561445772,0.28557917886574413,0.0007106367993658788
