glacier_type,AAR_n,AAR_mean,AAR_std,AAR_1σ,THAR_n,THAR_mean,THAR_std,THAR_1σ,AABR_n,AABR_mean,AABR_std,AABR_1σ
0,152126,0.5385128515423817,0.056452955851998624,3.007120577264976e-05,154771,0.5174636297941887,0.10328527863214172,2.7145855050113302e-05,149537,1.2555186841559405,0.2958731004526071,0.00017819110296124024
1,47660,0.5305463158593104,0.06145063174227444,6.358218750057773e-05,49277,0.4977135322370638,0.10298594927127565,5.238855677913509e-05,45649,1.248945572625762,0.3323660253207275,0.0003484110894208296
2,2648,0.5926133927831688,0.05770899314203167,0.0005188377190347846,3188,0.5313489759308219,0.11177237873145932,0.0004497775912626905,2053,1.5616745599573225,0.32591975804260587,0.003945995183281506
3,2353,0.5761187972902928,0.06377680268261454,0.00041306578528916123,2751,0.542744357896594,0.11698307435607302,0.0003667778588001548,1756,1.510417347057418,0.35191329348939826,0.0030476469989101918
4,800,0.5855568905012557,0.07157064931342459,0.0008497060861596932,980,0.41129777152285096,0.12671308955446897,0.0006957358832665847,139,1.7040919909527228,0.32850653839147803,0.011980395847520236
5,355,0.6014240035611452,0.05743285659079063,0.001145956744319889,483,0.4499769383593941,0.1220010358167824,0.0009618736136316779,40,1.9027549535196129,0.21744391455532489,0.023454640819756945
6,334,0.6074647660175726,0.06537616697178114,0.0016610651537985654,495,0.4493863281034963,0.14840883681721428,0.00117667175434557,33,1.874519218021918,0.29635493272573105,0.04504405539194464
7,102,0.6181896757810894,0.06067635841875655,0.0018532043232892604,228,0.4962834687426209,0.14219115272592267,0.0016503967100375987,13,1.8683307203115063,0.26438142922587154,0.04154285784999179
