glacier_type,temperature_category,aspect_category,AAR_n,AAR_mean,AAR_std,AAR_1σ,THAR_n,THAR_mean,THAR_std,THAR_1σ,AABR_n,AABR_mean,AABR_std,AABR_1σ
0,0,0,5885,0.568440548234802,0.06236087261415114,0.00028913235945092583,6218,0.5207268220743426,0.11626354627365917,0.00026865172534320755,5462,1.4092926181376495,0.34027808302166296,0.0018732990919924164
0,0,1,13692,0.5653451375624338,0.05916424905555421,0.00018451200419439932,14322,0.5166387246925862,0.1076769500991874,0.0001681851572468726,12742,1.4038823641753104,0.3251385746116102,0.0011910847654966884
0,0,2,46,0.5678381739776266,0.06871113723216864,0.0064315225285711385,49,0.40290252520101905,0.09977808866332459,0.00485784127734366,37,1.4765969026993304,0.3753275684385502,0.042893979214765135
0,0,3,46,0.5687018966980346,0.0860771130548975,0.004666720733510308,53,0.43941051726576585,0.12580120280677284,0.0033986498261335913,34,1.5443892505653636,0.3596633387413597,0.03661780732337167
0,1,0,11316,0.5460169378622499,0.05807587848925823,0.00012371504765907026,11590,0.5187907585002028,0.10853748300323827,0.00011541198529886773,11061,1.2859050875609568,0.3036337766977817,0.0007201142952224001
0,1,1,36815,0.5398575049819406,0.053397882398337634,6.271962855929414e-05,37158,0.5140980934821553,0.09939396368923324,5.34420756240929e-05,36341,1.2501686022606353,0.27951007708677766,0.0003696977438876145
0,1,2,174,0.5482165851053945,0.07187031099054043,0.0010967180377677345,180,0.47827825205464936,0.12703847978960267,0.0008650345235222598,160,1.284063954095585,0.35315113380193747,0.007426828270818959
0,1,3,147,0.5498699696184002,0.07206113234444539,0.0017248558626943473,162,0.47188739295662085,0.13708802260639247,0.001480097595968217,114,1.3908822644614476,0.3706903654111095,0.012127717015028499
0,2,0,18948,0.532790975489874,0.0534974523834971,5.288021884142335e-05,19184,0.5205733031408518,0.10229764150275035,4.869555289060696e-05,18832,1.2331023530614693,0.2798039301319979,0.0002965085909570576
0,2,1,50980,0.5274684712536034,0.052575560311012605,3.024605384544919e-05,51535,0.5119277629721853,0.09963161417283864,2.5574860674761223e-05,50873,1.2035776496666257,0.2717069973802455,0.00015945195298808202
0,2,2,9625,0.537327828376484,0.059323509767444986,7.223012562082482e-05,9780,0.5445114437038767,0.10634266544949608,6.128402257577033e-05,9514,1.2624998153547515,0.312805173411811,0.00043480574191604143
0,2,3,4452,0.538252079582778,0.061552112676960785,0.00011426487408166119,4540,0.5365150105099746,0.10969458163722874,9.514886864436735e-05,4367,1.2756885966154765,0.32824332545285423,0.0007078591040560624
1,0,0,2045,0.5669422045233226,0.0646371063445532,0.0005426523598170168,2269,0.5139300004223976,0.11705084271424071,0.00046978041949057204,1697,1.4411100155731582,0.348262372150908,0.0035992883065697604
1,0,1,3870,0.5615217464028679,0.0660144186774589,0.0003809610123644731,4235,0.5054135050642287,0.11760902189441007,0.000313756986367433,3295,1.4464883579020693,0.3486585213392436,0.0024824944446491483
1,1,0,3759,0.5357574407473508,0.06250568498011516,0.00025368887122028164,3911,0.4902205085739841,0.10164397397896131,0.00021381506152266035,3552,1.2686506460546605,0.34958722501922446,0.001366975438162994
1,1,1,8337,0.5241768708614728,0.060243478244985875,0.0001746674558217365,8583,0.474586898866565,0.09557932249289516,0.0001293471988816682,8041,1.207003979833234,0.3274318863911775,0.0009351502368125231
1,1,2,57,0.5322289196110142,0.05781502499819793,0.0011259361506750713,58,0.43407758407735925,0.09573715117734467,0.0009148602852362879,56,1.173999473997719,0.2707829590592562,0.006674813510257566
1,1,3,24,0.5266920676585964,0.06894886722759776,0.004626699085877653,27,0.44577048363496335,0.11893004502711604,0.004794150607315494,24,1.1785027609242518,0.31746686963010823,0.02618501174226395
1,2,0,7339,0.525863131613946,0.05808080661100998,0.00011618600445924289,7503,0.506012870288938,0.09762756063346122,9.426753962795141e-05,7128,1.2213428735947567,0.3158466361569071,0.0005802171819903807
1,2,1,14879,0.5207441175504818,0.05748169193491701,7.92086728987533e-05,15162,0.49056688935282106,0.0966474045629562,5.950652542667164e-05,14655,1.207068191741713,0.3164983822741829,0.0003857765594330323
1,2,2,5005,0.5334050395913128,0.05916711171946901,0.0001263439035459158,5110,0.5275611756704476,0.10655437329194599,0.00010831546632191001,4920,1.2633051156489437,0.3118734135887152,0.0007051702126697961
1,2,3,2345,0.5327273030872192,0.0633255150453151,0.00019796215670722813,2419,0.5213001026787077,0.10955815081459279,0.00018046739761216806,2281,1.2647093177098496,0.3223508124119772,0.001158366091828852
2,0,0,513,0.605458202408704,0.05740867966052144,0.0013878156312304188,653,0.5539216938620072,0.11170814832764075,0.0011215099424588205,389,1.6368698559686767,0.31382360992153857,0.010417107138369377
2,0,1,698,0.6067320635228453,0.05697844995915759,0.0011694392538789532,944,0.5447141547308619,0.11804921586718911,0.00099030644752055,494,1.6672375169756708,0.3236273768259457,0.00968121823293076
2,1,0,332,0.5939733458774838,0.050150485107285064,0.0013552812729608031,400,0.5245520915580224,0.09997137023168017,0.0012244236534527592,287,1.549059331700478,0.29069925609067526,0.01001966911645837
2,1,1,500,0.5871373671371183,0.055621546334797684,0.0012022644884328252,563,0.4993489974468612,0.11069105309538521,0.0009418668531250831,416,1.485349150141122,0.30801499669342686,0.008494552862912152
2,2,0,122,0.5720887214015051,0.053950750372119986,0.002081123926739045,133,0.519747003247661,0.10906759292286003,0.0017173234728683005,114,1.4322647252968832,0.2988761476109638,0.013978483096170448
2,2,1,206,0.5618426709332384,0.05971996203044775,0.0012225888498908419,214,0.5084816262948477,0.10332331721632604,0.0010836232254820297,186,1.365656505157688,0.32374583312906496,0.008348184855655123
2,2,2,163,0.5769955791592237,0.056064180176677705,0.0006650863784645909,164,0.5267768657452562,0.09750857507737762,0.00047957057967007384,89,1.5683141273138719,0.30439480170579764,0.004939983457620424
2,2,3,114,0.5683219113083505,0.05182220455552684,0.0009167289842171282,117,0.5361740126716724,0.0946005546549536,0.0009585740390883282,78,1.6205723538940167,0.3108788923804947,0.008452021324617282
3,0,0,553,0.5912460939539983,0.059870086439534655,0.0009869982636668277,689,0.57145322567405,0.11729855134749279,0.0008221644765430252,399,1.6273632450025604,0.3243421234115251,0.007615653124114238
