glacier_type,temperature_category,precipitation_category,area_category,aspect_category,AAR_n,AAR_mean,AAR_std,AAR_1σ,THAR_n,THAR_mean,THAR_std,THAR_1σ,AABR_n,AABR_mean,AABR_std,AABR_1σ
0,0,0,0,0,1402,0.5599302483890516,0.06526638795790385,0.0004115058803503441,1451,0.53409335921845,0.12227842633062232,0.00038686030864333446,1363,1.338588829697563,0.34083355014000005,0.0025516925693738193
0,0,0,0,1,3846,0.5554905017258929,0.05795948200744912,0.00021973737214751234,3929,0.5434131997961194,0.10694558828968254,0.0002193443594104465,3798,1.3152721683714657,0.30382606412601704,0.001355072938172605
0,0,0,0,2,13,0.5942185387394926,0.06425288764681757,0.010488329867818138,14,0.4133603592933571,0.09141319554409262,0.007896233532587536,11,1.4881943225076635,0.30857517757886677,0.06659291318699748
0,0,0,0,3,16,0.5447109852719986,0.09516667087724728,0.007252851354800924,20,0.43112226265717535,0.14352019684109457,0.005330050593865239,14,1.4164663592746483,0.3313280244444359,0.05472681607637618
0,0,0,1,0,1878,0.5656721358418546,0.061154458879871636,0.0005347454454722869,1933,0.5255655683724741,0.1160018627072973,0.0004911111457126152,1793,1.399846350342416,0.3274096144152765,0.0032810843629884974
0,0,0,1,1,4463,0.5607773416329298,0.056818257396287444,0.00030925067479263313,4551,0.5142891101135006,0.10669574190586004,0.00029549150051514733,4316,1.3845437604489448,0.30695236470019877,0.0019410049386476243
0,0,0,1,2,24,0.5647618416614183,0.057525667569231734,0.009524784881258444,25,0.39425649422707293,0.08799301588177248,0.007364814727836969,21,1.5336983323305202,0.38288733817830917,0.06134317066270365
0,0,0,1,3,16,0.5939361667057138,0.055247852007875,0.007193667148561916,18,0.44387768050914356,0.1128324485196907,0.004763667696615167,12,1.6412739817028947,0.3748463562625791,0.051936329328395814
0,0,0,2,0,1530,0.5869356272159424,0.05886333850058574,0.0007117192329524998,1686,0.514683361292446,0.11023739796662883,0.0006302808243957013,1257,1.5573511126938293,0.32491257833597714,0.005291053982082491
0,0,0,2,1,4198,0.5816180437573079,0.059531767093696335,0.0004454009059938503,4621,0.4983038742429677,0.10325895842851426,0.0003723188485935074,3486,1.5462523061987918,0.32677317951928425,0.003194321886235864
0,0,0,2,2,8,0.533206734869657,0.09846696544805066,0.014845914082729231,9,0.3938857760708646,0.13987165414535652,0.009497701744969323,5,1.2112565746700006,0.43735813276129115,0.11362207314553381
0,0,0,2,3,7,0.5473930242443099,0.10801068008029675,0.016467156999562475,7,0.4602879630339995,0.10152043056588446,0.01176786987352579,4,1.4650450310189933,0.4341863222060734,0.123485400691331
0,0,1,0,0,484,0.5521635468442209,0.06136386462852142,0.0006362315387888728,495,0.535676510156724,0.12022252852017662,0.0006984156329147153,478,1.2971520289776417,0.3211355702928944,0.003979306101999965
0,0,1,0,1,542,0.5498001107220997,0.05951091142836056,0.0003606765042617635,549,0.5438472854772383,0.11606280856398099,0.000415648624822049,535,1.2876691882515592,0.3077879919375945,0.00216746467122996
0,0,1,0,3,1,0.6373207975593677,,0.07798306669795685,2,0.4434830936011396,0.13885254063151803,0.04166666666666624,1,1.897503958335392,,0.5749890671242337
0,0,1,1,0,397,0.5577716026545396,0.05846146706931219,0.0009894277426470241,422,0.48687263251773005,0.10576445781691489,0.0009994409873887665,387,1.34203971333209,0.3117381332978143,0.006081216320997804
0,0,1,1,1,419,0.5548516029790853,0.05703632054447388,0.0008092986873806386,422,0.48759977336146204,0.10085966755614591,0.0007901564043703926,403,1.3272302269779694,0.2907006434327839,0.004988310309546743
0,0,1,1,3,2,0.4857234724138949,0.08369944020383491,0.0,2,0.3451660761738333,0.1241877601152213,0.0,2,1.8000265503180168,0.31875636364720683,0.0
0,0,1,2,0,158,0.5742744849853821,0.05751323688029993,0.002120522491058841,185,0.45636908899619594,0.09309233513593501,0.0019195318727716908,149,1.4521302121580073,0.3433954268257355,0.013935059747534709
0,0,1,2,1,206,0.5786834533543718,0.053454218849120404,0.001620379635036667,229,0.4615343113076796,0.10044922148859428,0.0015066098876137437,188,1.4983461433912133,0.3130890959996819,0.011010163370057956
0,0,1,2,3,4,0.6253534760922167,0.08343778008399351,0.0,4,0.46929995799738894,0.1755567080268458,0.0,1,1.6256805258951468,,0.0
0,0,2,0,0,18,0.5511096732751147,0.05697214729972966,0.0026207450204745095,18,0.579136796630799,0.09930378776551607,0.0030102489861684825,18,1.3226990399250387,0.3166823512726304,0.021889951318501577
0,0,2,0,1,10,0.5663941701530187,0.056060307819789254,0.0,10,0.6006131458163888,0.08388801245776101,0.0,10,1.388447685180044,0.30927582172320023,0.0
0,0,2,1,0,14,0.5877795475453802,0.03882470851648411,0.0028467161940208263,17,0.5541592417273582,0.1219427448965521,0.003143412913792127,13,1.5163796996554026,0.2164181489337575,0.017931732928398832
0,0,2,1,1,4,0.5457917841839712,0.05014057116370319,0.0,6,0.49765978183892784,0.07582435390331974,0.012377543095547006,4,1.32662538112338,0.3143032470182854,0.0
0,0,2,2,0,4,0.5849745075579236,0.014898598079750677,0.01352035555227954,11,0.3947227514689814,0.07104979462984459,0.011375301400303146,4,1.5619728083555149,0.1288880569197729,0.0689536013284569
0,0,2,2,1,4,0.5942371443084891,0.10683597822788546,0.012534024575796415,5,0.40293970415494806,0.05396145268421158,0.011035646087513971,2,1.1410644098984508,0.38566435839845287,0.0
0,1,0,0,0,1685,0.5533474976636288,0.06035257710677126,0.00028655070996214577,1715,0.5464908480830503,0.11880438889576354,0.000281303204562461,1669,1.2948988841578444,0.3130791680510465,0.0016640021017949906
