glacier_type,temperature_category,precipitation_category,area_category,slope_category,aspect_category,AAR_n,AAR_mean,AAR_std,AAR_1σ,THAR_n,THAR_mean,THAR_std,THAR_1σ,AABR_n,AABR_mean,AABR_std,AABR_1σ
1,2,1,0,1,0,134,0.5134304709274203,0.05686327837975859,0.000476007731530167,136,0.5265803228166319,0.1083729370378701,0.00027163969332169867,133,1.101005918726566,0.26429433427844773,0.0016444901751060375
1,2,1,0,1,1,289,0.5084853094802348,0.06005957391065674,0.0005071069112456156,295,0.5048478406167253,0.10272791348679632,0.0005790415668528091,298,1.0754847312681606,0.29004368579111517,0.0021084556005671567
1,2,1,0,1,2,40,0.5223605930163236,0.06998833258701906,0.0,41,0.539787387459365,0.11240583815785354,0.0,39,1.140820736781885,0.3112387254890169,0.0
1,2,1,0,1,3,18,0.5302017722255049,0.057915615685995805,0.0023949628914202406,18,0.5251506983623702,0.1250945334228972,0.0034386077848931208,18,1.1983985196325586,0.2768674576683394,0.011417127598884283
1,2,1,0,2,0,128,0.5173125681083817,0.06180389207877648,0.0003394411817381274,130,0.5233801261702922,0.1035235834626778,0.00033792286805454225,129,1.1328975634458833,0.2932419601468793,0.0012238325782625988
1,2,1,0,2,1,310,0.5067147575950176,0.060121129089343014,0.00033827700621406155,321,0.5204242575088676,0.10170795709229764,0.00034496516002625866,320,1.076723399149245,0.28977422188226254,0.0014294010164635107
1,2,1,0,2,2,29,0.5017610330952905,0.057041810312996453,0.0008734519767699658,30,0.5506448642341596,0.09226049213656949,0.0008299247785502172,30,1.0648120166474901,0.27688491032788676,0.0068296584074132825
1,2,1,0,2,3,9,0.55918069811869,0.0883953977869577,0.005005192733365021,9,0.5706640680579511,0.13339472534720706,0.004649024080368763,9,1.4039660306413955,0.44091525237998286,0.02990183824807819
1,2,1,1,0,0,238,0.5096299525640196,0.04940082964273181,0.0007461206261049657,246,0.4978040035625698,0.10071674343709074,0.0007282020785778314,243,1.0801376545189345,0.22056331402767684,0.0031296756851561646
1,2,1,1,0,1,547,0.5014296718114559,0.051484301990892135,0.0004844349436707846,555,0.4871148582410596,0.10398011282578239,0.000332773400893241,556,1.0540127493195721,0.23632720811977717,0.0019772637827360066
1,2,1,1,0,2,34,0.5327294356337506,0.07716165111989069,0.0014749030109996023,33,0.5841581079793564,0.11329147168623344,0.0014308818844717907,33,1.215223809936137,0.3910315622663909,0.010534285590843058
1,2,1,1,0,3,14,0.5223834983296043,0.06636696038465771,0.004308673854701892,14,0.514251195316024,0.11783545032348523,0.004701881394809146,14,1.173670130073523,0.33335469112092864,0.026976215305707065
1,2,1,1,1,0,293,0.509147968510273,0.05045890786577894,0.0003566295365990277,297,0.50151914252589,0.09423627050855166,0.00029115711033777635,299,1.1116719037068798,0.25461796905919915,0.0015619230934692835
1,2,1,1,1,1,741,0.49624948427096416,0.04999054232681255,0.0003056238726862661,753,0.47918210951963663,0.09171653667934639,0.00025810696752422916,753,1.0475778024761844,0.22833340171985406,0.0012254577006030915
1,2,1,1,1,2,57,0.5028499485243799,0.06216072760094502,0.0003043899323389531,59,0.5288197547365042,0.10957491480302144,0.0006652562687233187,58,1.0655740843022752,0.2742194944166667,0.001249589166973352
1,2,1,1,1,3,24,0.5227644127356572,0.04742322267236484,0.0,23,0.5389542951578467,0.08719327280626436,0.0,24,1.2063083283643827,0.2622193073759832,0.0
1,2,1,1,2,0,209,0.5198795532686752,0.0542845429264623,0.0007747315274941464,213,0.5201240524279881,0.08445381097557711,0.0006566959682693024,209,1.1683909204659122,0.2788999376911293,0.003214730690270613
