glacier_type,temperature_category,precipitation_category,area_category,AAR_n,AAR_mean,AAR_std,AAR_1σ,THAR_n,THAR_mean,THAR_std,THAR_1σ,AABR_n,AABR_mean,AABR_std,AABR_1σ
0,0,0,0,5277,0.5567327827642978,0.060184510089110084,0.00019685540993462808,5414,0.5401642808474647,0.11180482330370703,0.00019207563573741052,5186,1.3220402886482903,0.3142631001423776,0.0012150684734473596
0,0,0,1,6381,0.5623160648308938,0.058177960798934183,0.000270484254275258,6527,0.5169747501754827,0.10991691216539014,0.00025411096770674193,6142,1.390022521820412,0.31377915620272284,0.0016828785131153409
0,0,0,2,5743,0.5829255550030016,0.059561824627151545,0.0003778668726455222,6323,0.5024806796997775,0.10553007428102637,0.0003203675122061005,4752,1.5487673297690567,0.3265967109504403,0.0027340537298984713
0,0,1,0,1027,0.5509991601572933,0.06040484510963903,0.00036318334574974665,1046,0.5397887174395644,0.11810759062526426,0.00040395221111776277,1014,1.292740818071235,0.3144567762132758,0.002268948906827771
0,0,1,1,818,0.5560997492016098,0.05782590270803186,0.0006343792174318178,846,0.48690033975575264,0.10347717043781178,0.0006355241260006758,792,1.3356606106468139,0.30182915307562763,0.003908006396724515
0,0,1,2,369,0.5772936337224551,0.05558588007388481,0.0012890441772920925,419,0.4595480500004123,0.09781836046017654,0.0011894268841905087,338,1.4783495772041013,0.3267598673439182,0.008674065445081185
0,0,2,0,28,0.5565684221600804,0.05609703029568751,0.0016847646560193275,28,0.5868069213399382,0.09308319241663802,0.0019351600625368817,28,1.3461806989446834,0.30993098833339244,0.014072111561893872
0,0,2,1,18,0.5784489334650671,0.043806182173314834,0.0022141125953495317,23,0.5394202521912459,0.11298106355176307,0.00397795212931762,17,1.4717316247066914,0.24603601374814676,0.013712501651128518
0,0,2,2,8,0.5896058259332063,0.07079071396437263,0.009218212765047308,16,0.39729054918334594,0.06447747972131009,0.008547142347257874,6,1.421670008869827,0.29488706228344724,0.0459690675523046
0,1,0,0,10285,0.5447879495590784,0.055507880467694976,7.611334226865678e-05,10357,0.5543383687717534,0.10206395010072876,7.65850214010568e-05,10213,1.2481959911570413,0.2794461448612112,0.0004401366724002836
0,1,0,1,10372,0.5425401552115466,0.0513733392612079,0.0001349551821371516,10463,0.5094879338769179,0.09554890306940221,0.00012329317615293126,10294,1.2570447830696851,0.2679650467564254,0.0007938050971674656
0,1,0,2,5941,0.557631613856017,0.05501397172533796,0.0002841488765056054,6138,0.47899746683052585,0.09142502260651601,0.00022583829804922662,5613,1.3586548278524067,0.30464219718084595,0.0017882518655311552
0,1,1,0,7941,0.5324417239068363,0.057816992392705296,8.130949796960395e-05,8004,0.5335708707378201,0.10593198020538006,6.831216887635442e-05,7902,1.2026324763025005,0.2868735147944567,0.0003776653036172368
0,1,1,1,8414,0.5333047587279078,0.05197751656842137,0.00010003166885659852,8505,0.4991452940751671,0.09628264842321095,9.330352430247014e-05,8343,1.2290248225602314,0.27080026136234203,0.0005624493575983565
0,1,1,2,3802,0.5431955866449933,0.05343271047766886,0.0002303802648960498,3912,0.47291996439955136,0.09201403994473122,0.00019687703685179278,3653,1.3264704464550294,0.3040998149021987,0.0014012683199430892
0,1,2,0,714,0.5287695569477164,0.054270437274020936,0.00011593428303246889,711,0.544162575982622,0.10220035785156154,0.0001274949155672101,708,1.2106586473982877,0.27047611865982557,0.0009237021766452124
0,1,2,1,700,0.5329858757141197,0.052466519188267426,0.00023556496247338117,708,0.517255405797772,0.09712220561293995,0.0002539644055585556,690,1.275225609145142,0.2920393055524365,0.001387618801981454
0,1,2,2,283,0.5488874577671468,0.05560914060894179,0.0007387972853048102,292,0.5031685194272428,0.1007516376757544,0.0006600384808675599,260,1.4084826915265447,0.31455520555150535,0.003979087089834706
0,2,0,0,3507,0.541367663532956,0.05610872525994295,0.000146418441187037,3561,0.5507018046668515,0.10208355543487414,0.000149388865133417,3495,1.2278581210762656,0.2801473177906745,0.0008293098065921869
0,2,0,1,2958,0.5403284237538812,0.05174301105369586,0.0002462675500307957,2998,0.5075809147992517,0.09555040011300865,0.0002309575194796854,2955,1.2382216344156824,0.26656567658820585,0.0015129899375467173
0,2,0,2,1486,0.5466865133674323,0.059501384143445024,0.0005398915875286256,1554,0.47268680250284234,0.08923490498418574,0.00042753054078078346,1444,1.2854326969295793,0.3126930903322947,0.003247573669194395
0,2,1,0,12754,0.5260824676593249,0.05915638908157008,4.9315345080229025e-05,13074,0.5256637283705522,0.10652527531881431,4.2513998084114676e-05,12823,1.1647422891057455,0.28905190469930525,0.00024350503664859131
0,2,1,1,11560,0.523640304559593,0.048564862382078126,5.735790486188416e-05,11632,0.4978483607333349,0.09366649869308412,5.0602719668314526e-05,11572,1.1786318943625023,0.24520188882960095,0.0002950939972790246
0,2,1,2,4897,0.5340018191829059,0.05270028436409706,0.00014463602800486483,4983,0.47884964034095756,0.09348602003084791,0.00011236049946990809,4801,1.2698900449348296,0.28933163968126274,0.000780038121030625
0,2,2,0,19823,0.5255283580028346,0.06025887318090063,3.4976110259839635e-05,20127,0.5365151176692406,0.10703831738000562,3.159712198725834e-05,19851,1.1783139783617416,0.2948157494283881,0.0001756587150267786
0,2,2,1,17447,0.5287499039403897,0.04729279719665082,3.407327330617671e-05,17466,0.5208899216824531,0.09826119193259304,2.9893583646459887e-05,17384,1.231191353734601,0.25018751879844725,0.0001730125175391172
0,2,2,2,9573,0.545691821337739,0.047686211731224545,7.493927170647434e-05,9644,0.5150075652497272,0.09682174132861122,5.734730375094707e-05,9261,1.378055146695101,0.27983190837128485,0.00044030160779837395
