glacier_type,temperature_category,precipitation_category,area_category,slope_category,AAR_n,AAR_mean,AAR_std,AAR_1σ,THAR_n,THAR_mean,THAR_std,THAR_1σ,AABR_n,AABR_mean,AABR_std,AABR_1σ
0,0,0,0,0,1218,0.552902213179332,0.07067078866689348,0.0005542542709458558,1302,0.5009964982880275,0.12940351257202515,0.0004659221657022289,1174,1.3000232985621325,0.3577925088372118,0.0032051021087111642
0,0,0,0,1,1192,0.5463426534418897,0.06006977178171853,0.0002891916307813825,1213,0.5427618335211832,0.1110199606656892,0.00030902209331813447,1186,1.280523529597086,0.30936124396858844,0.0018263344216917713
0,0,0,0,2,2867,0.5626799986369169,0.05441731035433309,0.00024775691399684627,2899,0.5566684621165806,0.09854873527319037,0.0002610855995421557,2826,1.3486102895668601,0.2938286082229121,0.0016160331922794838
0,0,0,1,0,2230,0.5468275403134889,0.059976979260588426,0.0003801583040991831,2228,0.5209291098573922,0.12475216856533522,0.00033491978486912985,2163,1.3110846108194931,0.31675189018234623,0.002133754434960573
0,0,0,1,1,1855,0.5568577183741573,0.05637819126309247,0.00045634920345938334,1891,0.5144319855246017,0.1089446265176608,0.00045437788950158486,1797,1.3791733043316137,0.3080392949749859,0.0028023095312686218
0,0,0,1,2,2296,0.5817693062729928,0.05207644900513479,0.0005411300222333443,2408,0.5153128127101678,0.09495002307065745,0.000501066228691713,2182,1.4772080146354258,0.2928261223685086,0.0035552001356528424
0,0,0,2,0,3228,0.5750910825546418,0.06071433051140313,0.00043957375590051505,3400,0.5249426691686251,0.1108407401325167,0.00036059721737435565,2633,1.5159064492045147,0.3340913662371545,0.003052699545697767
0,0,0,2,1,1633,0.5849543839145568,0.0575653219060219,0.0007478728234802807,1868,0.48320562525499067,0.09582505382254872,0.0006335673004163688,1372,1.5614087619306647,0.31805332588061563,0.005412208310688979
0,0,0,2,2,882,0.6078423344256039,0.05125455051391658,0.0012442607142439705,1055,0.464220051746015,0.08463064751103534,0.0010381474533710693,747,1.6413759691274414,0.2948048982218141,0.009375933287222232
0,0,1,0,0,79,0.5406189673248772,0.07049609994491852,0.0013430068056313655,82,0.4890980015457264,0.11565408213890113,0.0011456198270568486,80,1.263871833168043,0.378679006107256,0.007898930331320159
0,0,1,0,1,139,0.5343261968324257,0.05913042950596503,0.0006700441612740467,138,0.5200687414252001,0.1264195651541188,0.0006529592447450564,137,1.2036606813158137,0.2751710273159296,0.004794934244472421
0,0,1,0,2,809,0.5548775002511345,0.05901575992063636,0.00042674787281759007,826,0.5481155883757352,0.1153782682566372,0.00048666262148581795,797,1.3109509780809565,0.31127114782500054,0.0026505017230232736
0,0,1,1,0,138,0.5188546375506929,0.04995515461069756,0.0010953864648569735,138,0.4856160310268949,0.10733084630060215,0.001032877677794992,139,1.1657113972263122,0.2722687008621958,0.004759080391644396
0,0,1,1,1,165,0.5364239742372295,0.04927988692595408,0.0005222980614933672,163,0.4906197562450015,0.09842358215947042,0.0004050308496571483,163,1.2363858373866283,0.25033600995819005,0.0029721606215575838
0,0,1,1,2,515,0.5723838817782102,0.05579069449624115,0.0009492803440335874,545,0.4861131282270092,0.1041199441745441,0.0009434756677069123,490,1.4168947508648955,0.29592980973608335,0.006090938045241445
0,0,1,2,0,81,0.5702225300101789,0.05415327452160085,0.0021438203239245923,81,0.5101638866869939,0.10616225142499255,0.0016025234278166734,74,1.4721872464784655,0.3507401266267302,0.014146768686924879
0,0,1,2,1,119,0.5709075700474503,0.05561943804285335,0.0018784851971688412,125,0.4523560858122473,0.09003271685117749,0.0016522512982597077,111,1.415184581691574,0.3056699833137273,0.012893845023687912
0,0,1,2,2,169,0.5851794383261234,0.05552715409005594,0.0022619168335228377,213,0.4445204103380063,0.0929280976658737,0.002040326736148809,153,1.5271556358680727,0.3235689283555633,0.015260216155124285
0,0,2,0,0,2,0.5712393171643896,0.022865701439188424,0.0,2,0.5747471479555308,0.08230564286834945,0.0,2,1.3840294036545528,0.1085288768211256,0.0
0,0,2,0,1,4,0.5293765913493631,0.0876036745685908,0.0,4,0.5856979925734418,0.10964018991493811,0.0,4,1.2197530483672163,0.45565961279181555,0.0
0,0,2,0,2,22,0.5601786736707282,0.05243809184201122,0.0021442459258427804,22,0.5881048877869746,0.09531176604253684,0.002462930988683304,22,1.3657267531669621,0.2994982625432978,0.017909960169683107
0,0,2,1,0,1,0.6722532758785457,,0.0,1,0.5199897544752058,,0.0,1,2.176778830183852,,0.0
0,0,2,1,1,2,0.5176918157971102,0.048009876301640476,0.0,2,0.4697947815597163,0.05281528994629898,0.0,2,1.1480227977807198,0.26478774521066384,0.0
0,0,2,1,2,15,0.5802962596598961,0.03171799889924666,0.002656935114419438,20,0.5473543241402009,0.11847772486611653,0.004574644948715263,14,1.4676152281620332,0.12137778711545896,0.01665089486208463
0,0,2,2,0,1,0.5726163174454397,,0.0,1,0.475873227689719,,0.0,1,1.413770292983956,,0.0
0,0,2,2,1,1,0.4519668944258336,,0.0,1,0.4149322930941544,,0.0,1,0.8683585268129458,,0.0
0,0,2,2,2,6,0.6153772325990629,0.04870557465163611,0.012290950353396411,14,0.39041737615354727,0.06516980499124699,0.009768162682580428,4,1.5619728083555149,0.1288880569197729,0.0689536013284569
0,1,0,0,0,1577,0.5451905497626294,0.0665186877897788,0.00035570591857864863,1642,0.5148798616732015,0.1251546204832665,0.0003138915153703164,1534,1.2489231471847253,0.3315503122871573,0.0019523913248136856
