glacier_type,precipitation_category,area_category,slope_category,AAR_n,AAR_mean,AAR_std,AAR_1σ,THAR_n,THAR_mean,THAR_std,THAR_1σ,AABR_n,AABR_mean,AABR_std,AABR_1σ
0,0,0,0,3370,0.5479151617229754,0.06754964594206189,0.0002713773481503077,3557,0.5120073492578798,0.12618152147309777,0.0002337369738312987,3278,1.264498763325671,0.3396714819682086,0.001525059951193346
0,0,0,1,5072,0.5397135555238914,0.058075257211262866,0.00010060145094559978,5108,0.5492513009549636,0.10621617934676185,0.00010713972567243244,5054,1.2271558290169635,0.2925225013388466,0.0005876758116319742
0,0,0,2,10627,0.5510208058011473,0.05275778866126035,8.720700265232677e-05,10667,0.5624819763483312,0.09303974635173982,9.387826242415826e-05,10562,1.282732268674982,0.2730342764557874,0.0005561208266132301
0,0,1,0,4782,0.5389569754912855,0.056686460363691286,0.000210360114996089,4797,0.5166586147090956,0.11816005483058192,0.000181500826548218,4708,1.2520234662616545,0.29802672901445343,0.0011476467916203116
0,0,1,1,6902,0.53867082670073,0.052158469017613875,0.00016839611334727963,6971,0.5044149787548143,0.09853414910466138,0.00015975370679294129,6838,1.246964128088773,0.27609286660947197,0.000980585581662579
0,0,1,2,8027,0.5629074964888888,0.05206984379566353,0.00021956114104223413,8220,0.514854724751628,0.09015471393190874,0.00020703514005622123,7845,1.3658655281845444,0.2834736789688637,0.0013931275589526798
0,0,2,0,6499,0.5625639905116088,0.059200539925612104,0.0002762502597964172,6754,0.507986201367787,0.10684991888102448,0.00021703800532625595,5739,1.4097374825109161,0.3346943931368306,0.0017824472437921338
0,0,2,1,4537,0.5642290714692918,0.05855244946934857,0.0003781520285710094,4870,0.4739801949961941,0.08832711303151704,0.00031844916778512916,4164,1.4046988903411408,0.32429679085931773,0.002475957427149647
0,0,2,2,2134,0.5890329744956504,0.05593374712341225,0.0006686253477555505,2391,0.46533029132889125,0.08255175708445552,0.000578378443288234,1906,1.5227634431551784,0.31785048873265104,0.004710376667452959
0,1,0,0,3764,0.5347744441193615,0.06597275028525446,0.0001898226109693168,3931,0.5032044925009217,0.1192194643774424,0.00014551069621334195,3735,1.2023549327115168,0.32831692520688216,0.0009463861511042436
0,1,0,1,6635,0.5230853986466887,0.055629781872300665,7.469986310809277e-05,6758,0.5216941707826668,0.10354711975165092,6.975239446285049e-05,6672,1.147582546311231,0.27112227244096176,0.00031691181088356365
0,1,0,2,11323,0.531669083446675,0.05813715248726272,3.904625436119541e-05,11435,0.5425572161236126,0.10235150265109408,4.257745771740775e-05,11332,1.2003234175611999,0.28728590543579585,0.0002332070592923014
0,1,1,0,5155,0.5220185345126038,0.04684209666821156,0.00010581278787781706,5162,0.49960961793729153,0.10168058488533205,8.839486566518814e-05,5161,1.1535021681804216,0.23311189445918354,0.00048221858014677033
0,1,1,1,7909,0.5211294914749186,0.04681237519570402,5.898469580456737e-05,7952,0.49249239841256953,0.09173868928117816,4.831776814065337e-05,7922,1.1633976299012128,0.23244643098445633,0.0002696876273236634
0,1,1,2,7728,0.5412498786238127,0.054880750707953056,0.00012290673817780322,7869,0.5023301748155754,0.09389417128579537,0.000121188741194423,7624,1.282930858572744,0.2860609404710435,0.0007477814822856617
0,1,2,0,4343,0.5341634848663965,0.0493021003345681,0.00015799668362110792,4375,0.4841016277083293,0.09717575771345256,0.00010904194440778364,4237,1.2680461639423182,0.28417638395615114,0.0008614400279775989
0,1,2,1,3111,0.5363101630537911,0.05461653767485835,0.0002214509065977763,3177,0.47091589400796674,0.08880389772826208,0.0001772890983543609,3035,1.289016875769739,0.2982451902289275,0.001283286579404306
0,1,2,2,1614,0.5606722105151408,0.05894266770170862,0.0004593468319038302,1762,0.46235917991654807,0.08851262996630425,0.000443333600168797,1520,1.4191730191727405,0.3193910405941269,0.002966489291704928
0,2,0,0,4316,0.5343984432832442,0.06730009375075022,0.00014900258740809707,4501,0.5150810604272333,0.12573073644177044,0.0001259089630013338,4315,1.2048689779377733,0.33593801066728707,0.0007543987238163818
0,2,0,1,6767,0.523900046628296,0.05877652135098865,2.4165928833185895e-05,6825,0.537088498071297,0.10451636070034812,2.4504072194304806e-05,6759,1.1691235536485542,0.284782964573353,0.00011458279586413433
0,2,0,2,9482,0.5229886862926789,0.0570508418834538,2.3457424105097648e-05,9540,0.5469351264497263,0.09689803333284672,2.702201057600084e-05,9513,1.1757000344239776,0.2793945801716904,0.00013069495551469088
0,2,1,0,4026,0.5220086855374726,0.050388140699700344,9.544120450015044e-05,4016,0.5179765879383298,0.11203311872415185,7.263710464221638e-05,4042,1.1697245282526236,0.251120280881887,0.00042534277313210065
0,2,1,1,7441,0.5269636448845828,0.045290020199869205,3.5075880403193835e-05,7449,0.524582618603714,0.09691262752969346,3.137804118886235e-05,7422,1.2209676458305083,0.23851915143182922,0.0001434987583468966
0,2,1,2,6698,0.5353625437877262,0.047411636539305545,6.090474601070542e-05,6732,0.5182229593094991,0.0904491347577822,6.188878538535697e-05,6627,1.285333814803279,0.25699541928717085,0.0003673649419186712
0,2,2,0,3958,0.5401596027238348,0.049760392460534014,0.00010204176302276888,3966,0.5187020148529231,0.10575077653951125,6.401180746949273e-05,3853,1.328838133344299,0.2846003961308906,0.0005330542818584222
0,2,2,1,3912,0.5463255093091397,0.0451778038807538,9.654521848275099e-05,3931,0.5166208654626555,0.09037991680300085,7.19889297085071e-05,3793,1.3957169693169462,0.26931574505139366,0.000581979105601517
