glacier_type,temperature_category,area_category,slope_category,aspect_category,AAR_n,AAR_mean,AAR_std,AAR_1σ,THAR_n,THAR_mean,THAR_std,THAR_1σ,AABR_n,AABR_mean,AABR_std,AABR_1σ
0,0,0,0,0,488,0.5544957423165238,0.0712941628938968,0.0008369104312518971,516,0.4963778475301095,0.13160340790625355,0.0007350006620958603,469,1.3062264692114127,0.3643383265653515,0.004853549716720148
0,0,0,0,1,781,0.5500829870543305,0.06961714371554587,0.0006554554760090793,837,0.5053640194969027,0.12640373732816154,0.0005375790631188554,761,1.2869734209944532,0.35547286849273185,0.0036985768098194427
0,0,0,0,2,13,0.5942185387394926,0.06425288764681757,0.010488329867818138,13,0.4236518633297519,0.0862922843616909,0.008503636112017345,11,1.4881943225076635,0.30857517757886677,0.06659291318699748
0,0,0,0,3,17,0.5501586212889026,0.09484279804986542,0.008224350922943683,20,0.4462421662970807,0.13901804539867732,0.006765393591231329,15,1.4485355325453644,0.34258346957508057,0.06386225486823506
0,0,0,1,0,388,0.5444595324317746,0.06108180687591754,0.0004198826664728028,392,0.5352808597170853,0.11817463765077214,0.00040889860858672647,385,1.272605114191811,0.31317732606787874,0.002877563514756301
0,0,0,1,1,947,0.5452787666782561,0.059756266660590515,0.0003355292162564551,960,0.5435293191852552,0.10981146012752581,0.0003652301830609502,942,1.2723232087813503,0.3047695563260065,0.0020953232416585023
0,0,0,2,0,1028,0.5645380527227755,0.06102035011251958,0.00047312467744240936,1056,0.5535916029907858,0.11316173219738448,0.0004902530839890518,1005,1.358975765595763,0.32732630164794296,0.003060487633338621
0,0,0,2,1,2670,0.5595798750625286,0.053203772002024925,0.00023371825348980995,2691,0.5555075891666176,0.0980798887889846,0.00025459531157446424,2640,1.3334378606031818,0.28593064670682966,0.0015158083853983593
0,0,1,0,0,897,0.5457719132829664,0.0605736896797592,0.0005859357343122437,891,0.5192849660119463,0.12694339278770747,0.0005042056560619545,872,1.2920200761812195,0.31316627243791645,0.002961684984851896
0,0,1,0,1,1431,0.5441581295380178,0.05916889801031619,0.00044366628382352355,1432,0.5219502301021504,0.1213627946648849,0.0004040802799815118,1397,1.3024404860179821,0.3140118493050137,0.0025933737756410787
0,0,1,0,2,24,0.5647618416614183,0.057525667569231734,0.009524784881258444,25,0.39425649422707293,0.08799301588177248,0.007364814727836969,21,1.5336983323305202,0.38288733817830917,0.06134317066270365
0,0,1,0,3,17,0.5822137866680186,0.06781429519587041,0.005870639285950637,19,0.43121116946611737,0.11700479463299604,0.004270011800305161,13,1.671395836239971,0.3742030576951127,0.04097420379664704
0,0,1,1,0,636,0.5643900206534016,0.057272561482398385,0.0008629453797590639,648,0.5252529589501402,0.10512697760354862,0.0008451704277865936,614,1.4090169672030641,0.3136954914728117,0.005522269267114133
0,0,1,1,1,1385,0.5508935469967311,0.055067229558027446,0.0004676620074964007,1407,0.5066456708434468,0.10927292443824721,0.00047247339314368346,1347,1.347808279213704,0.30086822921725087,0.0027769897197421588
0,0,1,1,3,1,0.5767912387628947,,0.0573366516069751,1,0.4871181816560203,,0.027753673912114585,1,1.5671950099511458,,0.32356054011189883
0,0,1,2,0,756,0.5866230842329447,0.05597765271686724,0.0010133928474987158,833,0.5135082587989253,0.10931404110085634,0.000914399509557625,707,1.495373248976359,0.3132014657457194,0.006639684504884849
0,0,1,2,1,2070,0.5776509268277112,0.05139234911401979,0.0005286020820190707,2140,0.5088783246696744,0.09253677834576428,0.000500762103967578,1979,1.4557170500385448,0.28566279711204423,0.0034680271965854955
0,0,2,0,0,1056,0.5784635990285506,0.05865414202050076,0.0007530914727742511,1109,0.5286042678904818,0.11168152585668727,0.000636276800146012,867,1.5128759780189638,0.3275317188125496,0.005383823705875174
0,0,2,0,1,2234,0.5734657561714154,0.060953369646983245,0.0005260609981967412,2352,0.5234626310415915,0.10977919280729818,0.0004261807839888886,1831,1.5164017972813297,0.33728328898787246,0.0035957481130573198
0,0,2,0,2,9,0.5379367554981531,0.09319406220512731,0.014350458631676681,10,0.4098766349066108,0.14123515380554919,0.010266100698473177,5,1.2112565746700006,0.43735813276129115,0.11362207314553381
0,0,2,0,3,11,0.5757422794617306,0.10312820987906073,0.010479099908812482,11,0.4635650521115957,0.12430027832036342,0.0074886444649709585,5,1.497172129994224,0.382817285706835,0.0987883205530648
0,0,2,1,0,398,0.5889167033584478,0.05788506242903984,0.001493829950204059,460,0.4883795580803567,0.10407482119321276,0.0013284341114077592,342,1.5603516079917057,0.3298811126627954,0.010852269487555227
0,0,2,1,1,1355,0.5824587665873664,0.05745308448580634,0.0008043951777776514,1534,0.47909579809581715,0.09301241213880539,0.0006742948827530052,1142,1.5469057955606709,0.3167403453590589,0.005769515890396979
0,0,2,2,0,238,0.6127746545693369,0.05225490708833693,0.002358258777337459,313,0.4653343420511522,0.09510625813141423,0.002019769696857741,201,1.6661786996293717,0.29695793981385943,0.017977957787659853
0,0,2,2,1,819,0.6017877407186687,0.05242812077444473,0.001245729536851789,969,0.45846356676798783,0.08343970356926887,0.0010358396438042321,703,1.6089738745859632,0.3026975927397255,0.009166201109039651
0,1,0,0,0,1111,0.5372804133363667,0.06569194914645815,0.0005070210261945018,1137,0.5088915319958276,0.126233720613882,0.0003983824366626969,1094,1.22250175757239,0.3239734315816609,0.002542545886087168
0,1,0,0,1,1721,0.5390986251853814,0.0647682766928969,0.0002451493782013588,1776,0.514628707713097,0.11910971983719457,0.00021618978794968484,1695,1.216591492615755,0.3203248421158762,0.0012698414292136024
